timestamp,direction
2025-10-10 10:24:01,right
2025-10-10 10:24:11,down
2025-10-10 10:24:21,left
2025-10-10 10:24:32,up
2025-10-10 10:24:45,right
2025-10-10 10:24:58,down
2025-10-10 10:25:09,left
2025-10-10 10:25:24,up
2025-10-10 10:25:40,right
2025-10-10 10:25:52,down
2025-10-10 10:26:03,left
2025-10-10 10:26:20,up
2025-10-10 10:26:32,down
2025-10-10 10:26:44,right
2025-10-10 10:26:56,left
2025-10-10 10:27:11,up
2025-10-10 10:27:23,down
2025-10-10 10:27:39,right
2025-10-10 10:27:55,left
2025-10-10 10:28:13,up
2025-10-10 10:28:24,down
2025-10-10 10:28:37,right
