timestamp,direction
2025-10-11 05:06:28,right
2025-10-11 05:06:45,down
2025-10-11 05:07:02,left
2025-10-11 05:07:19,up
2025-10-11 05:07:36,right
2025-10-11 05:07:53,down
2025-10-11 05:08:10,left
2025-10-11 05:08:27,up
2025-10-11 05:08:44,right
2025-10-11 05:09:01,down
2025-10-11 05:09:18,left
2025-10-11 05:09:35,up
2025-10-11 05:09:52,right
2025-10-11 05:10:09,down
2025-10-11 05:10:26,left
2025-10-11 05:10:43,up
2025-10-11 05:11:00,right
2025-10-11 05:11:17,down
2025-10-11 05:11:34,left
2025-10-11 05:11:51,up
2025-10-11 05:12:08,right
2025-10-11 05:12:25,down
2025-10-11 05:12:42,left
2025-10-11 05:12:59,up
2025-10-11 05:13:16,right
2025-10-11 05:13:33,down
2025-10-11 05:13:50,left
2025-10-11 05:14:07,up
2025-10-11 05:14:24,right
2025-10-11 05:14:41,down
2025-10-11 05:14:58,left
2025-10-11 05:15:15,up
2025-10-11 05:15:33,right
2025-10-11 05:15:50,down
2025-10-11 05:16:07,left
