timestamp,direction
2025-10-11 05:18:09,right
2025-10-11 05:18:26,down
2025-10-11 05:18:43,left
2025-10-11 05:19:00,up
2025-10-11 05:19:17,right
2025-10-11 05:19:34,down
2025-10-11 05:19:51,left
2025-10-11 05:20:08,up
2025-10-11 05:20:25,right
2025-10-11 05:20:42,down
2025-10-11 05:20:59,left
2025-10-11 05:21:16,up
2025-10-11 05:21:33,right
2025-10-11 05:21:50,down
2025-10-11 05:22:07,left
2025-10-11 05:22:24,up
2025-10-11 05:22:41,right
2025-10-11 05:22:58,down
2025-10-11 05:23:15,left
2025-10-11 05:23:32,up
2025-10-11 05:23:49,right
2025-10-11 05:24:06,down
2025-10-11 05:24:23,left
2025-10-11 05:24:40,up
2025-10-11 05:24:57,right
2025-10-11 05:25:14,down
2025-10-11 05:25:31,left
2025-10-11 05:25:48,up
2025-10-11 05:26:05,right
2025-10-11 05:26:22,down
2025-10-11 05:26:39,left
2025-10-11 05:26:56,up
2025-10-11 05:27:13,right
2025-10-11 05:27:30,down
2025-10-11 05:27:47,left
