timestamp,direction
2025-10-11 05:28:48,right
2025-10-11 05:28:59,left
2025-10-11 05:29:14,up
2025-10-11 05:29:25,down
2025-10-11 05:29:36,right
2025-10-11 05:30:00,left
2025-10-11 05:30:25,up
2025-10-11 05:30:39,down
2025-10-11 05:30:51,right
2025-10-11 05:31:20,left
2025-10-11 05:31:49,up
2025-10-11 05:32:07,down
2025-10-11 05:32:20,right
2025-10-11 05:32:49,left
2025-10-11 05:33:18,down
2025-10-11 05:33:39,up
2025-10-11 05:33:59,right
2025-10-11 05:34:28,left
2025-10-11 05:34:57,down
2025-10-11 05:35:16,up
2025-10-11 05:35:37,right
2025-10-11 05:36:06,left
2025-10-11 05:36:35,down
2025-10-11 05:36:52,up
2025-10-11 05:37:08,right
2025-10-11 05:37:37,left
2025-10-11 05:38:06,down
2025-10-11 05:38:22,up
