timestamp,direction
2025-10-11 07:02:11,up
2025-10-11 07:02:25,right
2025-10-11 07:02:36,left
2025-10-11 07:02:47,down
2025-10-11 07:02:58,up
2025-10-11 07:03:27,right
2025-10-11 07:03:38,left
2025-10-11 07:03:49,down
2025-10-11 07:04:00,up
2025-10-11 07:04:29,left
2025-10-11 07:04:40,right
2025-10-11 07:04:51,down
2025-10-11 07:05:02,up
2025-10-11 07:05:31,left
2025-10-11 07:05:42,right
2025-10-11 07:05:53,down
2025-10-11 07:06:04,up
2025-10-11 07:06:33,left
2025-10-11 07:06:44,down
2025-10-11 07:06:55,right
