timestamp,direction
2025-10-11 06:34:39,down
2025-10-11 06:34:50,up
2025-10-11 06:35:02,right
2025-10-11 06:35:16,left
2025-10-11 06:35:27,down
2025-10-11 06:35:48,up
2025-10-11 06:36:17,right
2025-10-11 06:36:33,left
2025-10-11 06:36:50,down
2025-10-11 06:37:19,up
2025-10-11 06:37:48,right
2025-10-11 06:38:03,left
2025-10-11 06:38:23,down
2025-10-11 06:38:52,up
2025-10-11 06:39:21,left
2025-10-11 06:39:38,right
2025-10-11 06:39:58,down
2025-10-11 06:40:27,up
2025-10-11 06:40:56,left
2025-10-11 06:41:10,right
2025-10-11 06:41:26,down
2025-10-11 06:41:55,up
2025-10-11 06:42:24,left
2025-10-11 06:42:40,right
2025-10-11 06:42:56,down
2025-10-11 06:43:25,up
2025-10-11 06:43:54,left
2025-10-11 06:44:11,right
2025-10-11 06:44:25,down
