timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-10-11 04:46:27,138555420212064,bus,right,priority,8.34
2025-10-11 04:46:27,138555420280400,car,right,priority,1.57
2025-10-11 04:46:28,138555420280688,truck,right,priority,0.02
2025-10-11 04:46:28,138555420212736,bike,right,priority,7.49
2025-10-11 04:46:29,138555420279536,truck,right,priority,3.92
2025-10-11 04:46:29,138555420211968,truck,right,priority,0
2025-10-11 04:46:30,138555420279728,bike,right,priority,4.35
2025-10-11 04:46:30,138555420281024,truck,right,priority,0
2025-10-11 04:46:30,138555420279920,bus,right,priority,2.9
2025-10-11 04:46:31,138555420280832,truck,right,priority,0.93
2025-10-11 04:46:38,138555420212448,bike,left,priority,18.42
2025-10-11 04:46:38,138555420212160,bus,left,priority,17.97
2025-10-11 04:46:38,138555420212544,truck,left,priority,16.64
2025-10-11 04:46:38,138555420280784,bike,left,priority,12.27
2025-10-11 04:46:39,138555420281552,bike,left,priority,11.28
2025-10-11 04:46:39,138555420281216,bus,left,priority,11.07
2025-10-11 04:46:39,138555420278912,truck,left,priority,17.03
2025-10-11 04:46:40,138555420280496,bus,left,priority,7.72
2025-10-11 04:46:40,138555420213216,car,left,priority,9.81
2025-10-11 04:46:40,138555420281504,truck,left,priority,10.92
2025-10-11 04:46:40,138555420285152,bus,left,priority,1.05
2025-10-11 04:46:41,138555420282512,car,left,priority,8.82
2025-10-11 04:46:41,138555490828800,car,left,priority,9.93
2025-10-11 04:46:41,138555422050832,truck,left,priority,4.8
2025-10-11 04:46:42,138555420282752,bus,left,priority,7.33
2025-10-11 04:46:42,138555420286160,bus,left,priority,0
2025-10-11 04:46:42,138555420283280,bus,left,priority,4.52
2025-10-11 04:46:43,138555420283712,truck,left,priority,5.05
2025-10-11 04:46:43,138555420285776,bus,left,priority,0.79
2025-10-11 04:46:43,138555420283808,car,left,priority,5.53
2025-10-11 04:46:49,138555424122608,bike,up,priority,29.28
2025-10-11 04:46:49,138555443492720,truck,up,priority,29.18
2025-10-11 04:46:49,138555420212832,truck,up,priority,27.42
2025-10-11 04:46:50,138555420280160,truck,up,priority,24.63
2025-10-11 04:46:50,138555420213072,car,up,priority,27.29
2025-10-11 04:46:50,138555420280592,truck,up,priority,23.94
2025-10-11 04:46:51,138555420283040,car,up,priority,17.63
2025-10-11 04:46:51,138555420212976,truck,up,priority,25.22
2025-10-11 04:46:51,138555420281648,truck,up,priority,20.92
2025-10-11 04:46:51,138555420282848,bus,up,priority,16.32
2025-10-11 04:46:52,138555420279152,car,up,priority,25.77
2025-10-11 04:46:52,138555420282080,bike,up,priority,20.31
2025-10-11 04:46:52,138555420282656,bus,up,priority,18.17
2025-10-11 04:46:52,138555420287936,truck,up,priority,4.06
2025-10-11 04:46:52,138555420285872,bus,up,priority,11.33
2025-10-11 04:46:53,138555420289280,car,up,priority,2.24
2025-10-11 04:46:53,138555420283328,bus,up,priority,17.36
