timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-10-01 20:27:42,140114806685232,bike,right,fixed,7.75
2025-10-01 20:27:42,140114806685520,bus,right,fixed,5.73
2025-10-01 20:27:42,140114806685616,car,right,fixed,4.28
2025-10-01 20:27:43,140114806767792,car,right,fixed,2.26
2025-10-01 20:27:46,140114806768512,truck,right,fixed,0
2025-10-01 20:27:52,140114806769088,bus,right,fixed,0
2025-10-01 20:27:58,140114806684848,car,down,fixed,13.72
2025-10-01 20:27:58,140114806685472,truck,down,fixed,22.47
2025-10-01 20:27:58,140114806685184,truck,down,fixed,20.47
2025-10-01 20:27:59,140114806769280,bike,down,fixed,9.39
2025-10-01 20:27:59,140114806768272,bus,down,fixed,16.22
2025-10-01 20:27:59,140114806768320,car,down,fixed,15.42
2025-10-01 20:27:59,140114806769568,bus,down,fixed,4.18
2025-10-01 20:27:59,140114806769040,bus,down,fixed,11.29
2025-10-01 20:28:00,140114806769232,truck,down,fixed,8.1
2025-10-01 20:28:00,140114806769952,bus,down,fixed,3.41
2025-10-01 20:28:03,140114806768752,truck,down,fixed,0
2025-10-01 20:28:14,140114806684272,bike,left,fixed,40.38
2025-10-01 20:28:14,140114806769184,bike,left,fixed,25.58
2025-10-01 20:28:14,140114806768128,truck,left,fixed,32.03
2025-10-01 20:28:14,140114806769856,car,left,fixed,21.17
2025-10-01 20:28:14,140114806770816,car,left,fixed,11.18
2025-10-01 20:28:15,140114806769616,car,left,fixed,23.48
2025-10-01 20:28:15,140114806771488,car,left,fixed,7.28
2025-10-01 20:28:15,140114806770480,car,left,fixed,16.52
2025-10-01 20:28:16,140114806772112,bus,left,fixed,1.17
2025-10-01 20:28:18,140114806768608,truck,left,fixed,0
2025-10-01 20:28:19,140114806772496,bike,left,fixed,0
2025-10-01 20:28:20,140114806770864,bike,left,fixed,0
2025-10-01 20:28:30,140114806768032,bus,up,fixed,50.0
2025-10-01 20:28:30,140114806770624,truck,up,fixed,27.85
2025-10-01 20:28:30,140114806770048,truck,up,fixed,24.85
2025-10-01 20:28:31,140114806771872,truck,up,fixed,20.1
2025-10-01 20:28:31,140114806685424,truck,up,fixed,15.1
2025-10-01 20:28:31,140114806768800,bike,up,fixed,44.77
2025-10-01 20:28:31,140114806771632,bike,up,fixed,19.59
2025-10-01 20:28:32,140114806772448,bus,up,fixed,16.23
2025-10-01 20:28:32,140114806773984,car,up,fixed,1.62
2025-10-01 20:28:32,140114806772640,truck,up,fixed,8.22
2025-10-01 20:28:33,140114806773312,bus,up,fixed,6.35
2025-10-01 20:28:39,140114806774848,bus,up,fixed,0
2025-10-01 20:28:46,140114806770192,bike,right,fixed,49.78
2025-10-01 20:28:46,140114806770096,bike,right,fixed,48.76
2025-10-01 20:28:46,140114806685376,bike,right,fixed,46.76
2025-10-01 20:28:46,140114806771536,bike,right,fixed,38.36
2025-10-01 20:28:46,140114806773888,bike,right,fixed,18.35
2025-10-01 20:28:47,140114806769472,car,right,fixed,46.28
2025-10-01 20:28:47,140114806770912,car,right,fixed,41.29
2025-10-01 20:28:47,140114806774320,truck,right,fixed,15.09
2025-10-01 20:28:47,140114806770960,car,right,fixed,40.28
2025-10-01 20:28:48,140114806774704,bus,right,fixed,9.34
2025-10-01 20:28:48,140114806771728,truck,right,fixed,37.12
2025-10-01 20:28:49,140114806772064,bike,right,fixed,31.21
2025-10-01 20:28:50,140114806772352,bike,right,fixed,26.33
2025-10-01 20:28:50,140114806773120,bike,right,fixed,24.45
2025-10-01 20:28:51,140114806775472,truck,right,fixed,3.1
2025-10-01 20:28:51,140114806771920,truck,right,fixed,2.09
2025-10-01 20:28:54,140114806771440,bus,right,fixed,0
2025-10-01 20:29:02,140114806770528,bike,down,fixed,41.76
2025-10-01 20:29:02,140114806774272,car,down,fixed,28.72
2025-10-01 20:29:02,140114806771776,truck,down,fixed,49.49
2025-10-01 20:29:03,140114806772880,car,down,fixed,26.28
2025-10-01 20:29:03,140114806776048,bike,down,fixed,9.39
2025-10-01 20:29:03,140114806773408,bike,down,fixed,37.57
2025-10-01 20:29:03,140114806775376,car,down,fixed,20.28
2025-10-01 20:29:03,140114806775904,bike,down,fixed,16.47
2025-10-01 20:29:04,140114806776432,truck,down,fixed,5.09
2025-10-01 20:29:05,140114806771152,car,down,fixed,0
2025-10-01 20:29:08,140114806776192,truck,down,fixed,0
2025-10-01 20:29:09,140114806775040,bus,down,fixed,0
2025-10-01 20:29:10,140114806775808,truck,down,fixed,0
2025-10-01 20:29:18,140114806773696,bike,left,fixed,50.58
2025-10-01 20:29:18,140114806772784,truck,left,fixed,51.05
2025-10-01 20:29:18,140114806774128,car,left,fixed,47.44
2025-10-01 20:29:19,140114817801472,bike,left,fixed,46.5
2025-10-01 20:29:19,140114806768848,truck,left,fixed,21.89
2025-10-01 20:29:19,140114806774416,bike,left,fixed,44.71
2025-10-01 20:29:19,140114806774896,bus,left,fixed,38.89
2025-10-01 20:29:19,140114806774368,truck,left,fixed,42.88
2025-10-01 20:29:19,140114806771584,truck,left,fixed,20.08
2025-10-01 20:29:20,140114806775088,bike,left,fixed,37.93
2025-10-01 20:29:20,140114806774656,car,left,fixed,38.71
2025-10-01 20:29:20,140114806775424,bus,left,fixed,32.87
2025-10-01 20:29:21,140114806770240,bus,left,fixed,28.24
2025-10-01 20:29:21,140114806772592,bus,left,fixed,27.18
2025-10-01 20:29:21,140114806772928,bus,left,fixed,26.51
2025-10-01 20:29:22,140114806777392,bike,left,fixed,17.71
2025-10-01 20:29:23,140114806779168,bus,left,fixed,1.32
2025-10-01 20:29:24,140114806773168,bike,left,fixed,0
2025-10-01 20:29:26,140114806779360,bus,left,fixed,0
2025-10-01 20:29:27,140114806776960,car,left,fixed,0
2025-10-01 20:29:29,140114806779312,car,left,fixed,0
2025-10-01 20:29:34,140114878982736,bike,up,fixed,45.44
2025-10-01 20:29:34,140114806775520,bus,up,fixed,46.05
2025-10-01 20:29:34,140114806774080,car,up,fixed,44.28
2025-10-01 20:29:35,140114806778400,car,up,fixed,21.16
2025-10-01 20:29:35,140114806768224,bike,up,fixed,39.49
2025-10-01 20:29:35,140114806776672,bus,up,fixed,35.19
2025-10-01 20:29:35,140114806774992,truck,up,fixed,4.01
2025-10-01 20:29:35,140114806777728,truck,up,fixed,23.9
2025-10-01 20:29:36,140114806777104,car,up,fixed,34.6
2025-10-01 20:29:36,140114806779984,car,up,fixed,5.68
2025-10-01 20:29:36,140114806777536,bike,up,fixed,31.83
2025-10-01 20:29:37,140114806780224,bus,up,fixed,1.24
2025-10-01 20:29:37,140114806778256,bus,up,fixed,22.88
2025-10-01 20:29:37,140114806777920,car,up,fixed,18.77
2025-10-01 20:29:37,140114806777680,bike,up,fixed,0.23
2025-10-01 20:29:38,140114806778352,truck,up,fixed,15.03
2025-10-01 20:29:39,140114806777440,car,up,fixed,11.3
2025-10-01 20:29:41,140114806780752,truck,up,fixed,0
2025-10-01 20:29:41,140114818604672,car,up,fixed,0
2025-10-01 20:29:42,140114806779888,bike,up,fixed,0
2025-10-01 20:29:42,140114806087056,bus,up,fixed,0
2025-10-01 20:29:50,140114806776912,bus,right,fixed,48.74
2025-10-01 20:29:50,140114806776240,truck,right,fixed,43.48
2025-10-01 20:29:50,140114806778304,truck,right,fixed,37.47
