timestamp,direction
2025-10-01 20:22:06,up
2025-10-01 20:22:16,down
2025-10-01 20:22:26,left
2025-10-01 20:22:36,right
2025-10-01 20:22:46,down
2025-10-01 20:22:56,up
2025-10-01 20:23:06,right
2025-10-01 20:23:16,left
2025-10-01 20:23:26,down
2025-10-01 20:23:36,up
2025-10-01 20:23:46,right
2025-10-01 20:23:56,left
2025-10-01 20:24:06,down
2025-10-01 20:24:16,up
2025-10-01 20:24:26,left
2025-10-01 20:24:36,right
2025-10-01 20:24:46,down
2025-10-01 20:24:56,up
2025-10-01 20:25:06,left
2025-10-01 20:25:16,right
2025-10-01 20:25:26,down
2025-10-01 20:25:36,up
2025-10-01 20:25:46,right
2025-10-01 20:25:56,left
2025-10-01 20:26:06,down
2025-10-01 20:26:16,up
2025-10-01 20:26:26,right
2025-10-01 20:26:36,left
2025-10-01 20:26:46,down
2025-10-01 20:26:56,right
