timestamp,direction
2025-10-01 01:19:25,up
2025-10-01 01:19:35,down
2025-10-01 01:19:45,left
2025-10-01 01:19:55,right
2025-10-01 01:20:05,up
2025-10-01 01:20:15,down
2025-10-01 01:20:25,right
2025-10-01 01:20:35,left
2025-10-01 01:20:45,down
2025-10-01 01:20:55,up
2025-10-01 01:21:05,right
2025-10-01 01:21:15,left
2025-10-01 01:21:25,down
2025-10-01 01:21:35,right
2025-10-01 01:21:45,left
2025-10-01 01:21:55,up
2025-10-01 01:22:05,down
2025-10-01 01:22:15,right
2025-10-01 01:22:25,left
2025-10-01 01:22:35,up
2025-10-01 01:22:45,right
2025-10-01 01:22:55,down
2025-10-01 01:23:05,up
2025-10-01 01:23:15,left
2025-10-01 01:23:25,up
2025-10-01 01:23:35,right
2025-10-01 01:23:45,down
2025-10-01 01:23:55,left
2025-10-01 01:24:05,right
2025-10-01 01:24:15,up
