timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-09-30 12:16:51,124426433554784,truck,right,fixed,0
2025-09-30 12:16:56,124426433556272,truck,right,fixed,0
2025-09-30 12:16:57,124426433556800,bike,right,fixed,0
2025-09-30 12:16:59,124426433556848,truck,right,fixed,0
2025-09-30 12:17:10,124426433554256,car,down,fixed,26.53
2025-09-30 12:17:10,124426433555120,car,down,fixed,24.69
2025-09-30 12:17:10,124426433558000,bus,down,fixed,3.01
2025-09-30 12:17:11,124426433555552,truck,down,fixed,20.7
2025-09-30 12:17:11,124426433555600,bus,down,fixed,18.01
2025-09-30 12:17:12,124426433557760,bike,down,fixed,2.41
2025-09-30 12:17:13,124426433557712,bus,down,fixed,5.0
2025-09-30 12:17:15,124426433558720,truck,down,fixed,0
2025-09-30 12:17:16,124426433558624,truck,down,fixed,0
2025-09-30 12:17:20,124426433558912,truck,down,fixed,0
2025-09-30 12:17:29,124426433555744,car,left,fixed,39.18
2025-09-30 12:17:29,124426433555456,bike,left,fixed,40.43
2025-09-30 12:17:29,124426433557280,bike,left,fixed,26.48
2025-09-30 12:17:29,124426433557568,bike,left,fixed,22.48
2025-09-30 12:17:30,124426433556656,bus,left,fixed,31.78
2025-09-30 12:17:30,124426433559296,bus,left,fixed,6.77
2025-09-30 12:17:31,124426433557040,truck,left,fixed,28.77
2025-09-30 12:17:33,124426435227920,truck,left,fixed,12.78
2025-09-30 12:17:35,124426433610144,bus,left,fixed,0
2025-09-30 12:17:38,124426433556128,bike,left,fixed,0
2025-09-30 12:17:48,124426457122048,car,up,fixed,62.85
2025-09-30 12:17:48,124426433555840,bike,up,fixed,53.14
2025-09-30 12:17:48,124426433555408,bus,up,fixed,59.27
2025-09-30 12:17:48,124426433559488,car,up,fixed,25.09
2025-09-30 12:17:49,124426433556224,bike,up,fixed,54.14
2025-09-30 12:17:49,124426433557232,car,up,fixed,48.54
2025-09-30 12:17:49,124426433611488,car,up,fixed,4.3
2025-09-30 12:17:50,124426433557520,bus,up,fixed,43.34
2025-09-30 12:17:51,124426433558048,bus,up,fixed,37.34
2025-09-30 12:17:52,124426433557616,bus,up,fixed,42.35
2025-09-30 12:17:52,124426433611584,truck,up,fixed,0
2025-09-30 12:17:52,124426433610336,bus,up,fixed,10.32
2025-09-30 12:17:53,124426433556368,bike,up,fixed,34.16
2025-09-30 12:17:54,124426433609904,bike,up,fixed,9.28
2025-09-30 12:17:54,124426433611776,truck,up,fixed,0
2025-09-30 12:17:54,124426433559056,bike,up,fixed,30.33
2025-09-30 12:17:55,124426433610816,bike,up,fixed,6.44
2025-09-30 12:17:56,124426433559392,car,up,fixed,30.62
2025-09-30 12:17:56,124426433611440,car,up,fixed,5.84
2025-09-30 12:17:57,124426433560064,truck,up,fixed,21.33
2025-09-30 12:17:58,124426433556992,bike,up,fixed,15.98
2025-09-30 12:17:59,124426433556032,bus,up,fixed,0
2025-09-30 12:17:59,124426433610864,car,up,fixed,11.9
2025-09-30 12:18:07,124426434668608,bike,right,fixed,63.81
