timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-06-22 03:43:59,123698508458288,bus,right,fixed,3.19
2025-06-22 03:44:10,123698508458960,car,down,fixed,6.14
2025-06-22 03:44:10,123698788546464,bike,down,fixed,16.18
2025-06-22 03:44:10,123698508458576,truck,down,fixed,13.21
2025-06-22 03:44:11,123698508458384,truck,down,fixed,13.7
2025-06-22 03:44:12,123698508459728,car,down,fixed,3.32
2025-06-22 03:44:13,123698508459344,bus,down,fixed,8.21
2025-06-22 03:44:18,123698508459824,truck,down,fixed,8.27
2025-06-22 03:44:19,123698508460064,car,down,fixed,4.24
2025-06-22 03:44:27,123698508459104,bike,left,fixed,24.17
2025-06-22 03:44:27,123698508458768,bus,left,fixed,28.2
2025-06-22 03:44:29,123698508458720,truck,left,fixed,27.99
2025-06-22 03:44:30,123698508460016,bus,left,fixed,18.49
2025-06-22 03:44:32,123698508460160,bus,left,fixed,19.24
2025-06-22 03:44:34,123698508460880,truck,left,fixed,13.05
2025-06-22 03:44:35,123698508461456,car,left,fixed,8.54
2025-06-22 03:44:44,123698508457712,bus,up,fixed,51.21
2025-06-22 03:44:44,123698508457808,bus,up,fixed,49.21
2025-06-22 03:44:44,123698508460448,truck,up,fixed,27.2
2025-06-22 03:44:45,123698508461984,car,up,fixed,12.67
2025-06-22 03:44:46,123698508458624,bike,up,fixed,45.96
2025-06-22 03:44:46,123698508459440,truck,up,fixed,39.95
2025-06-22 03:44:47,123698508460832,bus,up,fixed,26.98
2025-06-22 03:44:47,123698508461168,bus,up,fixed,23.44
2025-06-22 03:44:48,123698508460976,bike,up,fixed,26.74
2025-06-22 03:44:49,123698508462032,bike,up,fixed,15.21
2025-06-22 03:44:49,123698508462512,car,up,fixed,11.73
2025-06-22 03:44:50,123698508462320,bike,up,fixed,13.23
2025-06-22 03:44:51,123698508462704,car,up,fixed,11.24
2025-06-22 03:44:51,123698508462992,bus,up,fixed,7.69
2025-06-22 03:45:01,123698508459632,car,right,fixed,53.15
2025-06-22 03:45:01,123698508459056,bike,right,fixed,59.18
2025-06-22 03:45:01,123698508460496,bike,right,fixed,42.17
2025-06-22 03:45:02,123698508459536,car,right,fixed,55.02
2025-06-22 03:45:02,123698508461264,truck,right,fixed,37.24
2025-06-22 03:45:02,123698508459680,bike,right,fixed,48.29
2025-06-22 03:45:03,123698508459776,bike,right,fixed,52.14
2025-06-22 03:45:03,123698508463328,bus,right,fixed,15.56
2025-06-22 03:45:03,123698508461360,bus,right,fixed,37.73
2025-06-22 03:45:04,123698508459584,bus,right,fixed,36.6
2025-06-22 03:45:05,123698508463088,bus,right,fixed,20.48
2025-06-22 03:45:06,123698508461408,truck,right,fixed,37.36
2025-06-22 03:45:07,123698508460544,bike,right,fixed,21.26
2025-06-22 03:45:07,123698508529888,truck,right,fixed,9.38
2025-06-22 03:45:08,123698508463904,car,right,fixed,14.85
2025-06-22 03:45:08,123698508463760,bus,right,fixed,18.29
2025-06-22 03:45:09,123698508463808,truck,right,fixed,15.19
2025-06-22 03:45:10,123698508464000,truck,right,fixed,15.69
2025-06-22 03:45:18,123698508460400,truck,down,fixed,62.22
2025-06-22 03:45:18,123698508460640,truck,down,fixed,55.22
2025-06-22 03:45:18,123698508460928,truck,down,fixed,43.22
2025-06-22 03:45:19,123698508460592,truck,down,fixed,61.71
2025-06-22 03:45:19,123698508461888,bus,down,fixed,48.72
2025-06-22 03:45:19,123698508462560,bus,down,fixed,40.72
2025-06-22 03:45:21,123698508461840,truck,down,fixed,49.22
2025-06-22 03:45:21,123698508462896,bike,down,fixed,39.49
2025-06-22 03:45:21,123698508462800,bus,down,fixed,40.51
2025-06-22 03:45:22,123698510661824,bus,down,fixed,30.52
2025-06-22 03:45:22,123698508461936,bike,down,fixed,46.72
2025-06-22 03:45:23,123698508463184,bike,down,fixed,36.28
2025-06-22 03:45:23,123698508530272,car,down,fixed,21.72
2025-06-22 03:45:24,123698508464048,bus,down,fixed,28.28
2025-06-22 03:45:25,123698508530176,bike,down,fixed,21.06
2025-06-22 03:45:26,123698508530560,bike,down,fixed,23.04
2025-06-22 03:45:26,123698508531520,bike,down,fixed,11.09
2025-06-22 03:45:35,123698508461648,truck,left,fixed,65.22
2025-06-22 03:45:35,123698508463952,truck,left,fixed,38.21
2025-06-22 03:45:35,123698508531424,truck,left,fixed,21.2
2025-06-22 03:45:36,123698508463616,bike,left,fixed,45.7
2025-06-22 03:45:36,123698508530224,truck,left,fixed,31.7
2025-06-22 03:45:36,123698508532960,bike,left,fixed,11.68
2025-06-22 03:45:37,123698508530080,car,left,fixed,37.69
2025-06-22 03:45:37,123698508533296,car,left,fixed,10.68
2025-06-22 03:45:38,123698508531040,bus,left,fixed,30.19
2025-06-22 03:45:39,123698508533584,car,left,fixed,7.05
2025-06-22 03:45:40,123698508532864,bus,left,fixed,17.89
2025-06-22 03:45:40,123698508531136,bike,left,fixed,28.94
2025-06-22 03:45:41,123698510263312,car,left,fixed,18.64
2025-06-22 03:45:43,123698509571344,car,left,fixed,6.78
2025-06-22 03:45:43,123698508532768,bike,left,fixed,18.97
2025-06-22 03:45:44,123698508533872,bike,left,fixed,8.85
2025-06-22 03:45:52,123698508462080,car,up,fixed,51.15
2025-06-22 03:45:52,123698508462608,truck,up,fixed,69.22
2025-06-22 03:45:52,123698508463568,truck,up,fixed,63.22
2025-06-22 03:45:53,123698508530704,car,up,fixed,41.03
