timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-06-22 04:57:05,133732730153984,truck,down,fixed,11.71
2025-06-22 04:57:05,133732730154656,bus,down,fixed,6.02
2025-06-22 04:57:05,133732730155040,bus,down,fixed,0
2025-06-22 04:57:06,133732730154080,bus,down,fixed,10.99
2025-06-22 04:57:08,133732730154752,bus,down,fixed,5.01
2025-06-22 04:57:22,133732730157824,bike,left,fixed,0.45
2025-06-22 04:57:22,133733009022064,bus,left,fixed,25.76
2025-06-22 04:57:22,133733009176480,bus,left,fixed,24.77
2025-06-22 04:57:24,133732730154032,car,left,fixed,25.84
2025-06-22 04:57:24,133732730155712,bus,left,fixed,12.77
2025-06-22 04:57:25,133732730154608,car,left,fixed,14.28
2025-06-22 04:57:25,133732730156192,truck,left,fixed,7.76
2025-06-22 04:57:26,133732730157680,bus,left,fixed,0.74
2025-06-22 04:57:27,133732730157488,bus,left,fixed,1.75
2025-06-22 04:57:39,133732730153216,bike,up,fixed,46.92
2025-06-22 04:57:39,133732730153792,truck,up,fixed,45.31
2025-06-22 04:57:39,133732730154416,truck,up,fixed,39.35
2025-06-22 04:57:40,133732730155664,car,up,fixed,33.08
2025-06-22 04:57:40,133732730154944,car,up,fixed,38.47
2025-06-22 04:57:40,133732730154512,bus,up,fixed,35.35
2025-06-22 04:57:41,133732730156288,bus,up,fixed,25.33
2025-06-22 04:57:42,133732730155424,car,up,fixed,35.91
2025-06-22 04:57:42,133732730157152,bike,up,fixed,20.69
2025-06-22 04:57:43,133732730158976,bus,up,fixed,2.3
2025-06-22 04:57:43,133732730155856,car,up,fixed,33.37
2025-06-22 04:57:44,133732730154704,truck,up,fixed,11.31
2025-06-22 04:57:46,133732730437120,bike,up,fixed,10.31
2025-06-22 04:57:47,133732730158688,car,up,fixed,7.62
2025-06-22 04:57:48,133732730158160,truck,up,fixed,0
2025-06-22 04:57:56,133732730155184,bike,right,fixed,52.91
2025-06-22 04:57:56,133732730156096,bus,right,fixed,46.03
2025-06-22 04:57:56,133732730154368,bus,right,fixed,45.02
2025-06-22 04:57:57,133732730155808,bike,right,fixed,23.88
2025-06-22 04:57:57,133732730226112,bike,right,fixed,14.86
2025-06-22 04:57:58,133732730156864,truck,right,fixed,38.73
2025-06-22 04:57:58,133732730225248,bike,right,fixed,19.2
2025-06-22 04:57:59,133732730158448,car,right,fixed,30.88
2025-06-22 04:58:00,133732730228224,bus,right,fixed,0
2025-06-22 04:58:00,133732730159024,car,right,fixed,22.29
2025-06-22 04:58:02,133732730225968,bus,right,fixed,16.0
2025-06-22 04:58:03,133732730158640,bike,right,fixed,0
2025-06-22 04:58:13,133732730156768,car,down,fixed,57.55
2025-06-22 04:58:13,133732730158256,bike,down,fixed,44.69
2025-06-22 04:58:13,133732730156624,bus,down,fixed,57.24
2025-06-22 04:58:14,133732731551376,bike,down,fixed,37.68
2025-06-22 04:58:14,133732730156336,bus,down,fixed,55.25
2025-06-22 04:58:14,133732730157728,bike,down,fixed,23.7
2025-06-22 04:58:14,133732730157968,car,down,fixed,50.21
2025-06-22 04:58:15,133732730227984,car,down,fixed,15.9
2025-06-22 04:58:16,133732730158016,bike,down,fixed,49.97
2025-06-22 04:58:16,133732730158352,bus,down,fixed,46.22
2025-06-22 04:58:17,133732730226016,bus,down,fixed,20.19
2025-06-22 04:58:17,133732730228128,bus,down,fixed,11.96
2025-06-22 04:58:18,133732730226544,truck,down,fixed,22.95
2025-06-22 04:58:19,133732730228944,truck,down,fixed,6.92
2025-06-22 04:58:19,133732730156432,bus,down,fixed,7.95
2025-06-22 04:58:19,133732730230048,car,down,fixed,4.74
2025-06-22 04:58:20,133732730229184,car,down,fixed,6.07
2025-06-22 04:58:30,133732730158832,bike,left,fixed,50.81
2025-06-22 04:58:30,133732730158112,truck,left,fixed,54.51
2025-06-22 04:58:30,133732730158064,truck,left,fixed,57.71
2025-06-22 04:58:31,133732730225392,bus,left,fixed,42.96
2025-06-22 04:58:31,133732730155952,truck,left,fixed,39.54
2025-06-22 04:58:31,133732730226256,bike,left,fixed,38.89
2025-06-22 04:58:32,133732730225488,truck,left,fixed,35.72
2025-06-22 04:58:33,133732730157872,car,left,fixed,40.65
2025-06-22 04:58:33,133732730228320,bus,left,fixed,24.53
2025-06-22 04:58:34,133732730157008,bus,left,fixed,5.65
2025-06-22 04:58:34,133732730227840,bike,left,fixed,30.55
2025-06-22 04:58:34,133732730228992,bike,left,fixed,20.16
2025-06-22 04:58:35,133732730157776,truck,left,fixed,20.95
2025-06-22 04:58:36,133732730156384,truck,left,fixed,2.45
2025-06-22 04:58:36,133732733118864,bus,left,fixed,4.7
2025-06-22 04:58:36,133732730158496,car,left,fixed,25.95
2025-06-22 04:58:37,133732730157104,bike,left,fixed,4.5
2025-06-22 04:58:38,133732730232640,bus,left,fixed,0
2025-06-22 04:58:38,133732730229232,car,left,fixed,21.38
2025-06-22 04:58:39,133732730230240,bus,left,fixed,10.9
2025-06-22 04:58:47,133732730225440,bus,up,fixed,57.97
2025-06-22 04:58:47,133732730227600,bus,up,fixed,46.44
2025-06-22 04:58:47,133732730155280,bus,up,fixed,53.03
2025-06-22 04:58:48,133732730155376,bus,up,fixed,51.94
2025-06-22 04:58:49,133732730225200,truck,up,fixed,31.43
2025-06-22 04:58:49,133732730228608,bike,up,fixed,39.1
2025-06-22 04:58:50,133732730227648,truck,up,fixed,4.95
2025-06-22 04:58:50,133732730158304,bus,up,fixed,23.34
2025-06-22 04:58:50,133732730226592,truck,up,fixed,46.92
2025-06-22 04:58:52,133732730228800,car,up,fixed,36.37
2025-06-22 04:58:52,133732730155088,bus,up,fixed,6.39
2025-06-22 04:58:53,133732730158784,bus,up,fixed,16.82
2025-06-22 04:58:54,133732730232592,car,up,fixed,8.25
2025-06-22 04:58:55,133732730229088,bike,up,fixed,15.69
2025-06-22 04:59:04,133732730230768,bus,right,fixed,42.23
2025-06-22 04:59:04,133732730232160,truck,right,fixed,27.1
2025-06-22 04:59:04,133732730224912,truck,right,fixed,19.63
2025-06-22 04:59:05,133732730235136,bus,right,fixed,13.89
2025-06-22 04:59:05,133732730225680,bike,right,fixed,19.52
2025-06-22 04:59:06,133732730230912,truck,right,fixed,40.94
2025-06-22 04:59:06,133732730227072,bus,right,fixed,4.29
2025-06-22 04:59:07,133732730157632,bike,right,fixed,11.87
2025-06-22 04:59:07,133732729577424,bike,right,fixed,41.02
2025-06-22 04:59:08,133732730235712,bike,right,fixed,1.91
2025-06-22 04:59:08,133732730228656,truck,right,fixed,22.0
2025-06-22 04:59:09,133732730237392,bike,right,fixed,0
2025-06-22 04:59:10,133732730235376,car,right,fixed,13.58
2025-06-22 04:59:10,133732730237200,bike,right,fixed,0
2025-06-22 04:59:14,133732730237728,truck,right,fixed,0
2025-06-22 04:59:21,133732730230528,bus,down,fixed,57.44
2025-06-22 04:59:21,133732730157392,truck,down,fixed,49.68
2025-06-22 04:59:21,133732730231344,truck,down,fixed,45.25
2025-06-22 04:59:22,133732730232688,car,down,fixed,44.64
2025-06-22 04:59:22,133732730235520,truck,down,fixed,22.15
2025-06-22 04:59:23,133732730228368,car,down,fixed,50.41
2025-06-22 04:59:24,133732730234512,bus,down,fixed,15.89
2025-06-22 04:59:24,133732730227120,bus,down,fixed,20.42
2025-06-22 04:59:24,133732730224960,truck,down,fixed,28.22
2025-06-22 04:59:25,133732730235040,truck,down,fixed,24.13
2025-06-22 04:59:25,133732730234560,bike,down,fixed,1.81
2025-06-22 04:59:26,133732780118464,bike,down,fixed,0.72
2025-06-22 04:59:26,133732730229808,car,down,fixed,2.91
2025-06-22 04:59:27,133732730227264,bus,down,fixed,17.36
2025-06-22 04:59:29,133732730226496,bus,down,fixed,13.36
2025-06-22 04:59:38,133732730233072,bus,left,fixed,50.26
2025-06-22 04:59:38,133732730224768,bus,left,fixed,47.42
2025-06-22 04:59:39,133732730230144,bike,left,fixed,71.74
2025-06-22 04:59:40,133732730234704,car,left,fixed,47.97
2025-06-22 04:59:40,133732730232928,bike,left,fixed,42.69
2025-06-22 04:59:40,133732730232496,bike,left,fixed,56.93
2025-06-22 04:59:41,133732730228848,bus,left,fixed,4.99
2025-06-22 04:59:41,133732730234416,bus,left,fixed,41.35
2025-06-22 04:59:41,133732730232448,bus,left,fixed,49.95
2025-06-22 04:59:42,133732730239840,bike,left,fixed,5.06
2025-06-22 04:59:43,133732730225344,bus,left,fixed,43.94
2025-06-22 04:59:43,133732730228416,bus,left,fixed,31.32
2025-06-22 04:59:44,133732730229760,bus,left,fixed,10.22
2025-06-22 04:59:44,133732730233168,bike,left,fixed,46.67
2025-06-22 04:59:46,133732730239696,bike,left,fixed,8.18
