timestamp,vehicle_id,vehicle_type,direction,mode
2025-06-22 02:30:44,127175778821680,bus,right,fixed
2025-06-22 02:30:46,127175778822016,car,right,fixed
2025-06-22 02:30:56,127175778821776,bike,down,fixed
2025-06-22 02:30:56,127175778822352,truck,down,fixed
2025-06-22 02:31:00,127175778822688,car,down,fixed
2025-06-22 02:31:13,127175778821200,car,left,fixed
2025-06-22 02:31:13,127175778821824,car,left,fixed
2025-06-22 02:31:14,127175778821920,bike,left,fixed
2025-06-22 02:31:14,127175778822880,bike,left,fixed
2025-06-22 02:31:15,127175778822064,car,left,fixed
2025-06-22 02:31:16,127175778822160,car,left,fixed
2025-06-22 02:31:20,127175778823120,bike,left,fixed
2025-06-22 02:31:30,127175778821296,bike,up,fixed
2025-06-22 02:31:30,127175778821872,bus,up,fixed
2025-06-22 02:31:30,127175778822496,truck,up,fixed
2025-06-22 02:31:32,127175778822304,truck,up,fixed
2025-06-22 02:31:32,127175778822112,car,up,fixed
2025-06-22 02:31:33,127175778823168,bike,up,fixed
2025-06-22 02:31:33,127175778822400,bus,up,fixed
2025-06-22 02:31:34,127175778823312,truck,up,fixed
2025-06-22 02:31:35,127175778822448,car,up,fixed
2025-06-22 02:31:36,127175778823360,car,up,fixed
2025-06-22 02:31:36,127175778822736,car,up,fixed
2025-06-22 02:31:37,127175778823696,car,up,fixed
2025-06-22 02:31:38,127175778283408,truck,up,fixed
2025-06-22 02:31:39,127175778823648,truck,up,fixed
2025-06-22 02:31:47,127175778822544,car,right,fixed
2025-06-22 02:31:47,127175778822784,car,right,fixed
2025-06-22 02:31:47,127175778822256,truck,right,fixed
2025-06-22 02:31:48,127175778823216,car,right,fixed
2025-06-22 02:31:48,127175778822592,car,right,fixed
2025-06-22 02:31:49,127175778821344,bus,right,fixed
2025-06-22 02:31:50,127175778823600,truck,right,fixed
2025-06-22 02:31:50,127175778822976,truck,right,fixed
2025-06-22 02:31:50,127175778823024,truck,right,fixed
2025-06-22 02:31:51,127175778823504,bus,right,fixed
2025-06-22 02:31:51,127175778823744,truck,right,fixed
2025-06-22 02:31:52,127175778822640,car,right,fixed
2025-06-22 02:31:53,127175778824608,bike,right,fixed
2025-06-22 02:31:53,127175778823984,car,right,fixed
2025-06-22 02:31:53,127175778823552,bike,right,fixed
2025-06-22 02:31:54,127175778824560,bus,right,fixed
2025-06-22 02:31:55,127175778824848,car,right,fixed
2025-06-22 02:31:56,127175778824896,car,right,fixed
2025-06-22 02:32:04,127175778822928,truck,down,fixed
2025-06-22 02:32:04,127175778822832,truck,down,fixed
2025-06-22 02:32:04,127175778824944,truck,down,fixed
2025-06-22 02:32:06,127175778823072,car,down,fixed
2025-06-22 02:32:06,127175778823840,bike,down,fixed
2025-06-22 02:32:07,127175778821728,truck,down,fixed
2025-06-22 02:32:07,127175778823408,car,down,fixed
2025-06-22 02:32:08,127175778824176,bike,down,fixed
2025-06-22 02:32:08,127175791063168,bus,down,fixed
2025-06-22 02:32:09,127175778824224,bus,down,fixed
2025-06-22 02:32:10,127175778823888,bus,down,fixed
2025-06-22 02:32:11,127175778824272,bike,down,fixed
2025-06-22 02:32:12,127175778824128,truck,down,fixed
2025-06-22 02:32:12,127175778824656,truck,down,fixed
2025-06-22 02:32:13,127175778824800,car,down,fixed
2025-06-22 02:32:13,127175778824992,truck,down,fixed
2025-06-22 02:32:21,127175778823456,bike,left,fixed
2025-06-22 02:32:21,127175778823264,bus,left,fixed
2025-06-22 02:32:21,127175778821968,truck,left,fixed
2025-06-22 02:32:22,127175778824512,bike,left,fixed
2025-06-22 02:32:23,127175778825040,car,left,fixed
2025-06-22 02:32:23,127175778822208,car,left,fixed
2025-06-22 02:32:24,127175778824032,truck,left,fixed
2025-06-22 02:32:25,127175778825616,bus,left,fixed
2025-06-22 02:32:26,127175778824464,bike,left,fixed
2025-06-22 02:32:27,127175778824368,truck,left,fixed
2025-06-22 02:32:28,127176059782976,bus,left,fixed
2025-06-22 02:32:30,127175778825952,bus,left,fixed
2025-06-22 02:32:38,127175778824320,car,up,fixed
2025-06-22 02:32:38,127175778825472,car,up,fixed
2025-06-22 02:32:38,127175778823792,bus,up,fixed
2025-06-22 02:32:39,127175778825424,car,up,fixed
