timestamp,direction
2025-10-01 19:10:43,left
2025-10-01 19:10:53,right
2025-10-01 19:11:03,down
2025-10-01 19:11:13,up
2025-10-01 19:11:23,left
2025-10-01 19:11:33,right
2025-10-01 19:11:43,down
2025-10-01 19:11:53,up
2025-10-01 19:12:03,left
2025-10-01 19:12:13,right
2025-10-01 19:12:23,down
2025-10-01 19:12:33,up
2025-10-01 19:12:43,left
2025-10-01 19:12:53,right
2025-10-01 19:13:03,down
2025-10-01 19:13:13,up
2025-10-01 19:13:23,left
2025-10-01 19:13:33,right
2025-10-01 19:13:43,down
2025-10-01 19:13:53,up
2025-10-01 19:14:03,left
2025-10-01 19:14:13,right
2025-10-01 19:14:24,down
2025-10-01 19:14:34,up
2025-10-01 19:14:44,right
2025-10-01 19:14:54,left
2025-10-01 19:15:04,down
2025-10-01 19:15:14,up
2025-10-01 19:15:24,right
2025-10-01 19:15:34,left
