label,log_file,direction,duration_to_pass_50_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071224.csv,right,47.0,6.93,0.0,12.67,"{'truck': 3, 'bike': 1, 'car': 5, 'bus': 1}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,right,64.0,17.26,0.0,33.75,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043418.csv,right,89.0,10.53,0.0,25.88,"{'truck': 3, 'bike': 3, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043127.csv,right,67.0,28.98,0.0,53.45,"{'truck': 4, 'car': 3, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071739.csv,right,64.0,15.7,0.0,50.75,"{'truck': 3, 'bike': 3, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043130.csv,right,60.0,33.16,0.0,52.29,"{'truck': 3, 'bike': 1, 'car': 4, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043414.csv,right,54.0,7.26,0.0,18.4,"{'truck': 1, 'bike': 2, 'car': 3, 'bus': 4}"
priority_even_120,priority_log_120_20250622_071718.csv,right,75.0,3.65,0.19,16.74,"{'truck': 2, 'bike': 2, 'car': 5, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043419.csv,right,59.0,11.52,0.0,34.42,"{'truck': 6, 'bike': 1, 'car': 1, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043132.csv,right,65.0,20.66,0.0,50.53,"{'truck': 3, 'car': 2, 'bus': 5}"
priority_even_120,priority_log_120_20250629_043421.csv,right,49.0,7.12,0.0,20.0,"{'truck': 2, 'bike': 3, 'car': 2, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071737.csv,right,65.0,21.16,0.0,50.46,"{'truck': 2, 'bike': 4, 'car': 4}"
fixed_even_120,fixed_log_120_20250629_043124.csv,right,58.0,22.02,0.0,44.24,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043415.csv,right,33.0,5.45,0.0,12.52,"{'truck': 2, 'bike': 3, 'car': 3, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043416.csv,right,103.0,11.88,0.0,38.7,"{'truck': 1, 'bike': 3, 'car': 2, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043412.csv,right,35.0,11.03,0.0,17.75,"{'truck': 3, 'bike': 3, 'car': 1, 'bus': 3}"
priority_even_120,priority_log_120_20250622_071717.csv,right,91.0,6.45,0.0,24.01,"{'truck': 1, 'bike': 4, 'car': 4, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043420.csv,right,60.0,9.69,0.0,26.4,"{'truck': 3, 'bike': 3, 'car': 1, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043413.csv,right,72.0,9.1,0.0,22.55,"{'truck': 3, 'bike': 2, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043125.csv,right,66.0,16.65,0.0,50.39,"{'truck': 1, 'bike': 4, 'car': 3, 'bus': 2}"
priority_even_120,priority_log_120_20250622_071719.csv,right,60.0,4.11,0.0,19.07,"{'truck': 1, 'bike': 5, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043129.csv,right,61.0,19.19,0.0,53.5,"{'truck': 2, 'bike': 3, 'car': 4, 'bus': 1}"
priority_even_120,priority_log_120_20250622_071716.csv,right,99.0,9.5,0.0,33.29,"{'truck': 2, 'bike': 1, 'car': 6, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043133.csv,right,62.0,26.89,0.0,47.5,"{'truck': 3, 'bike': 2, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250622_071738.csv,right,65.0,18.86,0.0,40.83,"{'truck': 3, 'bike': 1, 'car': 3, 'bus': 3}"
fixed_even_120,fixed_log_120_20250629_043135.csv,right,62.0,25.03,0.0,53.41,"{'truck': 1, 'bike': 4, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250622_071741.csv,right,68.0,20.41,0.0,50.35,"{'truck': 6, 'bike': 2, 'car': 2}"
priority_even_120,priority_log_120_20250629_043411.csv,right,40.0,3.64,0.0,12.77,"{'truck': 3, 'bike': 2, 'car': 2, 'bus': 3}"
fixed_even_120,fixed_log_120_20250629_043126.csv,right,65.0,15.09,0.0,48.85,"{'truck': 4, 'bike': 1, 'car': 4, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043131.csv,right,66.0,20.77,0.0,50.35,"{'truck': 3, 'car': 5, 'bus': 2}"
priority_even_120,priority_log_120_20250622_071715.csv,right,72.0,6.35,0.0,27.11,"{'truck': 4, 'bike': 1, 'car': 2, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071740.csv,right,70.0,19.55,0.0,53.77,"{'truck': 1, 'bike': 1, 'car': 5, 'bus': 3}"
