label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071223.csv,down,priority,bottom_left,28.0,9.33,0.0,15.97,"{'car': 1, 'bus': 6, 'truck': 1, 'bike': 2}"
priority_bottom_left_120,priority_log_120_20250622_071221.csv,down,priority,bottom_left,75.0,6.6,0.0,24.3,"{'car': 2, 'bus': 4, 'truck': 3, 'bike': 1}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,down,priority,bottom_left,68.0,13.51,1.24,36.76,"{'car': 1, 'bus': 1, 'truck': 3, 'bike': 5}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,down,priority,bottom_left,53.0,12.12,0.24,31.01,"{'bus': 3, 'truck': 3, 'bike': 4}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,down,priority,bottom_left,63.0,5.09,0.0,11.47,"{'car': 3, 'bus': 2, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071718.csv,down,priority,even,57.0,5.82,0.0,24.03,"{'car': 5, 'bus': 4, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043417.csv,down,priority,even,35.0,7.11,0.0,22.38,"{'car': 2, 'bus': 3, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043419.csv,down,priority,even,53.0,5.17,0.0,17.87,"{'car': 4, 'bus': 1, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043415.csv,down,priority,even,78.0,17.98,0.0,52.58,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043416.csv,down,priority,even,66.0,10.06,0.0,22.85,"{'car': 3, 'bus': 1, 'truck': 3, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043412.csv,down,priority,even,82.0,16.94,0.39,38.29,"{'car': 4, 'bus': 1, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250622_071717.csv,down,priority,even,107.0,17.97,0.0,45.33,"{'car': 2, 'bus': 1, 'truck': 4, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043420.csv,down,priority,even,42.0,7.46,0.0,22.64,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043413.csv,down,priority,even,53.0,8.6,0.0,20.23,"{'car': 6, 'bus': 1, 'truck': 1, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071716.csv,down,priority,even,91.0,16.55,0.0,41.22,"{'car': 2, 'bus': 3, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043422.csv,down,priority,even,78.0,8.47,0.0,17.34,"{'car': 5, 'bus': 2, 'truck': 2, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043411.csv,down,priority,even,46.0,5.64,0.0,13.95,"{'car': 2, 'bus': 4, 'truck': 3, 'bike': 1}"
priority_even_120,priority_log_120_20250622_071715.csv,down,priority,even,81.0,4.5,0.0,13.04,"{'car': 1, 'truck': 2, 'bike': 7}"
