label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,left,fixed,bottom_left,5.0,13.23,0.0,27.56,"{'car': 2, 'bus': 5, 'truck': 1, 'bike': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,left,fixed,bottom_left,64.0,24.85,2.28,53.94,"{'car': 3, 'bus': 2, 'truck': 3, 'bike': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065358.csv,left,fixed,bottom_left,4.0,17.08,2.27,28.96,"{'car': 2, 'bus': 3, 'truck': 2, 'bike': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,left,fixed,bottom_left,3.0,14.9,0.77,28.97,"{'car': 3, 'truck': 2, 'bike': 5}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,left,fixed,bottom_left,64.0,24.93,5.98,51.51,"{'car': 4, 'bus': 2, 'truck': 2, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043134.csv,left,fixed,even,65.0,20.47,0.0,49.88,"{'car': 1, 'bus': 1, 'truck': 3, 'bike': 5}"
fixed_even_120,fixed_log_120_20250629_043127.csv,left,fixed,even,66.0,24.03,0.0,49.5,"{'car': 4, 'bus': 3, 'truck': 2, 'bike': 1}"
fixed_even_120,fixed_log_120_20250622_071739.csv,left,fixed,even,66.0,20.13,0.0,50.07,"{'car': 2, 'bus': 4, 'truck': 2, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043130.csv,left,fixed,even,66.0,25.4,0.0,54.0,"{'car': 3, 'bus': 3, 'truck': 4}"
fixed_even_120,fixed_log_120_20250629_043132.csv,left,fixed,even,67.0,29.55,0.0,54.01,"{'car': 3, 'bus': 2, 'truck': 5}"
fixed_even_120,fixed_log_120_20250629_043128.csv,left,fixed,even,64.0,18.59,3.75,53.53,"{'car': 3, 'bus': 3, 'truck': 1, 'bike': 3}"
fixed_even_120,fixed_log_120_20250622_071737.csv,left,fixed,even,65.0,16.26,0.0,49.62,"{'car': 2, 'bus': 4, 'truck': 2, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043124.csv,left,fixed,even,66.0,25.4,0.0,49.69,"{'car': 3, 'bus': 3, 'truck': 1, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043125.csv,left,fixed,even,65.0,22.64,0.0,50.95,"{'car': 2, 'bus': 1, 'truck': 3, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043129.csv,left,fixed,even,66.0,23.47,3.78,51.76,"{'car': 1, 'bus': 4, 'truck': 2, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043133.csv,left,fixed,even,7.0,17.27,0.0,26.21,"{'car': 3, 'bus': 6, 'bike': 1}"
fixed_even_120,fixed_log_120_20250622_071738.csv,left,fixed,even,66.0,19.87,0.0,45.0,"{'car': 3, 'bus': 1, 'truck': 5, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043135.csv,left,fixed,even,64.0,25.11,0.0,53.93,"{'car': 1, 'bus': 4, 'truck': 3, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071741.csv,left,fixed,even,64.0,14.76,0.0,53.27,"{'car': 5, 'bus': 4, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043126.csv,left,fixed,even,8.0,8.9,0.0,23.22,"{'car': 2, 'bus': 1, 'truck': 3, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043131.csv,left,fixed,even,65.0,23.23,0.0,49.95,"{'car': 5, 'bus': 3, 'truck': 1, 'bike': 1}"
fixed_even_120,fixed_log_120_20250622_071740.csv,left,fixed,even,64.0,20.3,0.0,46.21,"{'car': 4, 'bus': 4, 'bike': 2}"
