label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,right,fixed,bottom_left,64.0,17.26,0.0,33.75,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043127.csv,right,fixed,even,67.0,28.98,0.0,53.45,"{'car': 3, 'bus': 3, 'truck': 4}"
fixed_even_120,fixed_log_120_20250622_071739.csv,right,fixed,even,64.0,15.7,0.0,50.75,"{'car': 2, 'bus': 2, 'truck': 3, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043130.csv,right,fixed,even,60.0,33.16,0.0,52.29,"{'car': 4, 'bus': 2, 'truck': 3, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043132.csv,right,fixed,even,65.0,20.66,0.0,50.53,"{'car': 2, 'bus': 5, 'truck': 3}"
fixed_even_120,fixed_log_120_20250622_071737.csv,right,fixed,even,65.0,21.16,0.0,50.46,"{'car': 4, 'truck': 2, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043124.csv,right,fixed,even,58.0,22.02,0.0,44.24,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043125.csv,right,fixed,even,66.0,16.65,0.0,50.39,"{'car': 3, 'bus': 2, 'truck': 1, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043129.csv,right,fixed,even,61.0,19.19,0.0,53.5,"{'car': 4, 'bus': 1, 'truck': 2, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043133.csv,right,fixed,even,62.0,26.89,0.0,47.5,"{'car': 3, 'bus': 2, 'truck': 3, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071738.csv,right,fixed,even,65.0,18.86,0.0,40.83,"{'car': 3, 'bus': 3, 'truck': 3, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043135.csv,right,fixed,even,62.0,25.03,0.0,53.41,"{'car': 3, 'bus': 2, 'truck': 1, 'bike': 4}"
fixed_even_120,fixed_log_120_20250622_071741.csv,right,fixed,even,68.0,20.41,0.0,50.35,"{'car': 2, 'truck': 6, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043126.csv,right,fixed,even,65.0,15.09,0.0,48.85,"{'car': 4, 'bus': 1, 'truck': 4, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043131.csv,right,fixed,even,66.0,20.77,0.0,50.35,"{'car': 5, 'bus': 2, 'truck': 3}"
fixed_even_120,fixed_log_120_20250622_071740.csv,right,fixed,even,70.0,19.55,0.0,53.77,"{'car': 5, 'bus': 3, 'truck': 1, 'bike': 1}"
