label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,up,fixed,bottom_left,67.0,26.96,0.0,48.83,"{'car': 4, 'bus': 2, 'truck': 1, 'bike': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,up,fixed,bottom_left,66.0,33.29,0.0,50.77,"{'car': 2, 'bus': 3, 'truck': 2, 'bike': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,up,fixed,bottom_left,72.0,16.95,0.0,42.38,"{'car': 2, 'bus': 2, 'truck': 3, 'bike': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,up,fixed,bottom_left,65.0,25.85,0.0,51.75,"{'car': 4, 'bus': 4, 'truck': 2}"
fixed_even_120,fixed_log_120_20250629_043134.csv,up,fixed,even,6.0,18.4,1.33,32.84,"{'car': 1, 'bus': 2, 'truck': 7}"
fixed_even_120,fixed_log_120_20250629_043127.csv,up,fixed,even,64.0,18.9,0.0,52.99,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071739.csv,up,fixed,even,64.0,22.78,2.21,53.59,"{'car': 4, 'bus': 2, 'truck': 1, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043130.csv,up,fixed,even,64.0,24.11,0.0,51.34,"{'car': 2, 'bus': 3, 'truck': 2, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043132.csv,up,fixed,even,8.0,24.15,1.32,43.08,"{'car': 3, 'bus': 5, 'truck': 1, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043128.csv,up,fixed,even,64.0,19.25,0.0,43.39,"{'car': 3, 'bus': 1, 'truck': 5, 'bike': 1}"
fixed_even_120,fixed_log_120_20250622_071737.csv,up,fixed,even,64.0,24.55,0.0,41.12,"{'car': 1, 'bus': 3, 'truck': 2, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043124.csv,up,fixed,even,64.0,22.05,0.0,41.76,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043125.csv,up,fixed,even,64.0,25.77,2.83,48.83,"{'car': 1, 'bus': 3, 'truck': 3, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043129.csv,up,fixed,even,64.0,19.36,0.0,50.34,"{'bus': 1, 'truck': 2, 'bike': 7}"
fixed_even_120,fixed_log_120_20250629_043133.csv,up,fixed,even,66.0,40.41,6.54,54.01,"{'car': 3, 'bus': 4, 'truck': 1, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071738.csv,up,fixed,even,64.0,26.82,12.68,43.98,"{'car': 6, 'bus': 1, 'truck': 1, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043135.csv,up,fixed,even,65.0,26.13,4.6,49.81,"{'car': 4, 'bus': 1, 'truck': 4, 'bike': 1}"
fixed_even_120,fixed_log_120_20250622_071741.csv,up,fixed,even,66.0,30.15,0.0,50.04,"{'car': 2, 'truck': 2, 'bike': 6}"
fixed_even_120,fixed_log_120_20250629_043126.csv,up,fixed,even,4.0,22.3,2.83,41.78,"{'car': 1, 'bus': 2, 'truck': 3, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043131.csv,up,fixed,even,5.0,20.05,0.0,43.39,"{'car': 3, 'bus': 4, 'truck': 1, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071740.csv,up,fixed,even,64.0,22.05,2.14,52.06,"{'car': 6, 'bus': 2, 'truck': 2}"
