label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071221.csv,up,priority,bottom_left,80.0,6.78,0.0,35.05,"{'car': 3, 'bus': 1, 'truck': 3, 'bike': 3}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,up,priority,bottom_left,88.0,11.28,0.0,26.77,"{'car': 1, 'bus': 1, 'truck': 2, 'bike': 6}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,up,priority,bottom_left,67.0,11.59,0.0,34.34,"{'car': 2, 'bus': 4, 'truck': 3, 'bike': 1}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,up,priority,bottom_left,82.0,9.15,0.0,31.35,"{'car': 3, 'bus': 2, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043418.csv,up,priority,even,62.0,8.87,0.0,30.42,"{'car': 1, 'bus': 1, 'truck': 4, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043414.csv,up,priority,even,47.0,2.78,0.0,12.81,"{'car': 3, 'bus': 2, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250622_071718.csv,up,priority,even,86.0,9.96,0.0,30.22,"{'car': 2, 'bus': 3, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043417.csv,up,priority,even,63.0,6.2,0.0,24.22,"{'car': 2, 'bus': 4, 'truck': 1, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043419.csv,up,priority,even,73.0,4.99,0.0,28.54,"{'car': 3, 'bus': 4, 'truck': 1, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043421.csv,up,priority,even,79.0,18.03,0.0,48.38,"{'car': 1, 'bus': 4, 'truck': 4, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043415.csv,up,priority,even,35.0,5.6,0.0,14.92,"{'car': 4, 'bus': 2, 'truck': 4}"
priority_even_120,priority_log_120_20250629_043412.csv,up,priority,even,47.0,6.26,0.0,21.01,"{'bus': 1, 'truck': 4, 'bike': 5}"
priority_even_120,priority_log_120_20250622_071717.csv,up,priority,even,70.0,11.74,0.0,36.09,"{'car': 2, 'bus': 1, 'truck': 4, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043413.csv,up,priority,even,66.0,13.44,0.0,39.08,"{'car': 1, 'bus': 3, 'truck': 5, 'bike': 1}"
priority_even_120,priority_log_120_20250622_071719.csv,up,priority,even,23.0,3.07,0.0,9.73,"{'car': 2, 'bus': 2, 'truck': 3, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043411.csv,up,priority,even,68.0,5.78,0.0,17.34,"{'car': 2, 'bus': 2, 'truck': 4, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071715.csv,up,priority,even,92.0,9.75,0.0,28.95,"{'car': 3, 'bus': 4, 'truck': 1, 'bike': 2}"
