label,total_vehicles,unique_vehicles,log_file_count,average_wait_time_sec,min_wait_time_sec,max_wait_time_sec,average_throughput_vehicles_per_file,average_wait_time_by_direction,average_wait_time_by_type,vehicles_by_type,vehicles_by_direction
priority_up_down_300,20385,20385,30,27.0,0.0,110.58,679.5,"{'down': 25.14, 'up': 25.34, 'left': 30.51, 'right': 30.9}","{'bike': 27.62, 'bus': 26.41, 'truck': 27.01, 'car': 26.95}","{'bike': 5160, 'bus': 5122, 'truck': 5082, 'car': 5021}","{'down': 6876, 'up': 6956, 'left': 3229, 'right': 3324}"
fixed_up_down_300,18026,18026,30,36.82,0.0,145.97,600.87,"{'right': 22.72, 'down': 38.19, 'left': 23.64, 'up': 51.58}","{'bus': 36.0, 'car': 37.58, 'bike': 37.7, 'truck': 35.98}","{'bus': 4492, 'car': 4489, 'bike': 4585, 'truck': 4460}","{'right': 3542, 'down': 5722, 'left': 3120, 'up': 5642}"
fixed_up_down_600,13229,13229,10,69.21,0.0,234.99,1322.9,"{'right': 24.55, 'down': 92.38, 'left': 24.59, 'up': 104.57}","{'bus': 69.66, 'truck': 66.72, 'bike': 71.25, 'car': 69.21}","{'bus': 3221, 'truck': 3315, 'bike': 3321, 'car': 3372}","{'right': 2557, 'down': 4193, 'left': 2651, 'up': 3828}"
priority_up_down_600,15990,15990,10,39.52,0.0,145.82,1599.0,"{'up': 40.56, 'down': 40.18, 'right': 37.91, 'left': 37.64}","{'car': 40.43, 'bus': 38.46, 'truck': 37.87, 'bike': 41.37}","{'car': 4037, 'bus': 4027, 'truck': 4020, 'bike': 3906}","{'up': 5351, 'down': 5414, 'right': 2601, 'left': 2624}"
priority_even_300,21811,21811,31,24.16,0.0,104.54,703.58,"{'left': 23.51, 'up': 24.79, 'down': 23.88, 'right': 24.48}","{'car': 23.95, 'bus': 24.26, 'truck': 23.82, 'bike': 24.63}","{'car': 5422, 'bus': 5529, 'truck': 5472, 'bike': 5388}","{'left': 5591, 'up': 5504, 'down': 5315, 'right': 5401}"
fixed_even_300,21542,21542,31,27.62,0.0,108.38,694.9,"{'right': 27.66, 'down': 25.6, 'left': 27.24, 'up': 30.15}","{'bus': 26.99, 'truck': 27.42, 'car': 27.8, 'bike': 28.23}","{'bus': 5353, 'truck': 5336, 'car': 5389, 'bike': 5464}","{'right': 5670, 'down': 5586, 'left': 5162, 'up': 5124}"
fixed_even_600,15652,15652,10,47.25,0.0,146.89,1565.2,"{'right': 47.4, 'down': 45.84, 'left': 44.95, 'up': 51.12}","{'bike': 48.66, 'car': 47.85, 'bus': 46.35, 'truck': 46.12}","{'bike': 3966, 'car': 3903, 'bus': 3844, 'truck': 3939}","{'right': 3896, 'down': 3971, 'left': 4066, 'up': 3719}"
priority_even_600,16190,16190,10,40.19,0.0,127.01,1619.0,"{'up': 41.74, 'left': 39.65, 'down': 39.2, 'right': 40.16}","{'bus': 39.09, 'truck': 39.47, 'bike': 41.29, 'car': 40.89}","{'bus': 3986, 'truck': 4095, 'bike': 4065, 'car': 4044}","{'up': 4076, 'left': 3976, 'down': 4102, 'right': 4036}"
fixed_up_300,3396,3396,11,76.6,0.0,194.99,308.73,"{'right': 20.14, 'down': 22.78, 'left': 22.84, 'up': 110.62}","{'bus': 77.26, 'car': 74.15, 'bike': 80.04, 'truck': 74.9}","{'bus': 906, 'car': 841, 'bike': 831, 'truck': 818}","{'right': 456, 'down': 403, 'left': 443, 'up': 2094}"
priority_up_300,5889,5889,11,36.19,0.0,90.78,535.36,"{'up': 40.12, 'right': 24.23, 'left': 23.54, 'down': 23.13}","{'bus': 34.4, 'car': 38.05, 'bike': 40.69, 'truck': 31.73}","{'bus': 1499, 'car': 1484, 'bike': 1440, 'truck': 1466}","{'up': 4487, 'right': 459, 'left': 504, 'down': 439}"
priority_left_right_300,8153,8153,11,30.55,0.0,109.74,741.18,"{'right': 29.77, 'left': 28.51, 'down': 33.76, 'up': 33.56}","{'bike': 31.5, 'car': 30.49, 'truck': 29.59, 'bus': 30.63}","{'bike': 2020, 'car': 1993, 'truck': 2025, 'bus': 2115}","{'right': 2823, 'left': 2790, 'down': 1269, 'up': 1271}"
fixed_left_right_300,7026,7026,11,42.98,0.0,139.54,638.73,"{'right': 54.24, 'down': 23.52, 'left': 53.14, 'up': 26.06}","{'bike': 43.42, 'truck': 41.99, 'car': 43.94, 'bus': 42.6}","{'bike': 1787, 'truck': 1746, 'car': 1728, 'bus': 1765}","{'right': 2353, 'down': 1250, 'left': 2060, 'up': 1363}"
fixed_left_right_600,13379,13379,10,70.36,0.0,249.36,1337.9,"{'right': 95.48, 'down': 24.29, 'left': 99.99, 'up': 25.94}","{'bike': 71.83, 'bus': 69.72, 'car': 71.6, 'truck': 68.24}","{'bike': 3392, 'bus': 3406, 'car': 3319, 'truck': 3262}","{'right': 4061, 'down': 2624, 'left': 4271, 'up': 2423}"
priority_left_right_600,17448,17448,11,40.02,0.0,134.94,1586.18,"{'right': 40.46, 'left': 41.74, 'up': 37.93, 'down': 37.69}","{'bus': 39.51, 'truck': 38.86, 'bike': 41.12, 'car': 40.59}","{'bus': 4353, 'truck': 4346, 'bike': 4398, 'car': 4351}","{'right': 5948, 'left': 5821, 'up': 2833, 'down': 2846}"
