label,log_file_count,average_cycle_time_by_direction
fixed_up_down_1200,5,"{'right': 68.18, 'down': 68.18, 'left': 68.19, 'up': 68.19}"
priority_up_down_1200,5,"{'up': 91.58, 'down': 91.13, 'left': 93.78, 'right': 93.8}"
fixed_up_down_300,30,"{'right': 66.67, 'down': 66.67, 'left': 66.67, 'up': 66.67}"
priority_up_down_300,30,"{'up': 62.59, 'down': 62.91, 'left': 70.23, 'right': 69.2}"
priority_up_down_600,10,"{'down': 86.16, 'up': 85.26, 'right': 90.8, 'left': 89.6}"
fixed_up_down_600,10,"{'right': 68.06, 'down': 68.06, 'left': 68.06, 'up': 68.07}"
fixed_even_300,31,"{'right': 65.44, 'down': 65.44, 'left': 65.44, 'up': 65.44}"
priority_even_300,31,"{'up': 61.89, 'right': 62.13, 'left': 60.26, 'down': 62.18}"
fixed_even_600,10,"{'right': 68.1, 'down': 68.11, 'left': 68.11, 'up': 68.07}"
priority_even_600,10,"{'right': 101.54, 'down': 99.74, 'left': 99.64, 'up': 103.32}"
priority_up_300,11,"{'up': 58.43, 'down': 61.52, 'left': 61.02, 'right': 63.52}"
fixed_up_300,11,"{'right': 68.0, 'down': 68.0, 'left': 68.0, 'up': 68.0}"
priority_left_right_300,11,"{'right': 76.97, 'left': 72.64, 'up': 83.92, 'down': 82.44}"
fixed_left_right_300,11,"{'right': 68.14, 'down': 68.14, 'left': 68.18, 'up': 68.18}"
fixed_left_right_600,10,"{'right': 68.06, 'down': 68.06, 'left': 68.06, 'up': 68.07}"
priority_left_right_600,11,"{'left': 85.2, 'right': 84.7, 'up': 88.88, 'down': 89.86}"
