timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-06-22 07:12:27,138907979622656,bike,right,priority,0
2025-06-22 07:12:29,138907981109952,bike,left,priority,2.29
2025-06-22 07:12:31,138907979622320,bus,left,priority,0
2025-06-22 07:12:38,138907979623376,car,left,priority,1.33
2025-06-22 07:12:38,138907979623088,truck,left,priority,4.78
2025-06-22 07:12:39,138907979623280,truck,left,priority,3.25
2025-06-22 07:12:40,138907979623136,bike,left,priority,0
2025-06-22 07:12:42,138907979623712,bike,left,priority,0
2025-06-22 07:12:48,138907979622848,car,right,priority,18.24
2025-06-22 07:12:51,138907979622800,truck,down,priority,12.73
2025-06-22 07:12:51,138907979623520,bus,down,priority,10.02
2025-06-22 07:12:51,138907979622752,bus,down,priority,7.02
2025-06-22 07:12:53,138907979623808,bus,down,priority,4.01
2025-06-22 07:12:53,138907979624192,bus,down,priority,0
2025-06-22 07:13:01,138907979624816,bus,up,priority,4.85
2025-06-22 07:13:02,138907979625200,bus,up,priority,0
2025-06-22 07:13:06,138907979623856,car,left,priority,13.52
2025-06-22 07:13:06,138907979623472,truck,left,priority,17.11
2025-06-22 07:13:06,138907979624336,truck,left,priority,16.27
2025-06-22 07:13:07,138907979624960,bike,left,priority,4.66
2025-06-22 07:13:07,138907979624096,bus,left,priority,14.09
2025-06-22 07:13:07,138907979624720,truck,left,priority,11.78
2025-06-22 07:13:15,138907979624144,bus,left,priority,0
2025-06-22 07:13:18,138907979625392,car,down,priority,15.57
2025-06-22 07:13:18,138907979625152,bike,down,priority,15.97
2025-06-22 07:13:18,138908258316032,bus,down,priority,9.76
2025-06-22 07:13:19,138907981295696,bike,down,priority,5.48
2025-06-22 07:13:19,138907979625008,bus,down,priority,12.74
2025-06-22 07:13:20,138907979625680,truck,down,priority,8.0
2025-06-22 07:13:22,138907979626112,bus,down,priority,0
2025-06-22 07:13:25,138907979626352,truck,down,priority,0
2025-06-22 07:13:25,138907979625584,bus,down,priority,0
2025-06-22 07:13:29,138907979626640,truck,down,priority,0
2025-06-22 07:13:35,138907979624432,car,right,priority,39.73
2025-06-22 07:13:35,138907979625968,truck,right,priority,19.71
2025-06-22 07:13:36,138907979626016,bus,right,priority,19.5
2025-06-22 07:13:38,138907979626880,car,right,priority,9.32
2025-06-22 07:13:41,138907979627600,truck,right,priority,0
2025-06-22 07:13:44,138907979627888,car,up,priority,0.23
2025-06-22 07:13:44,138907979625824,bus,up,priority,34.33
2025-06-22 07:13:49,138907981298960,car,left,priority,17.02
2025-06-22 07:13:49,138907979623760,bus,left,priority,28.9
2025-06-22 07:13:49,138907979626928,truck,left,priority,8.86
2025-06-22 07:13:50,138907979627264,truck,left,priority,9.52
2025-06-22 07:13:51,138907979627168,truck,left,priority,4.89
2025-06-22 07:13:52,138907979626400,bus,left,priority,3.37
2025-06-22 07:13:55,138907979627984,bus,left,priority,0
2025-06-22 07:14:00,138907979628176,truck,left,priority,0
2025-06-22 07:14:06,138907979625776,bus,down,priority,34.02
2025-06-22 07:14:06,138907979627360,bike,down,priority,25.51
2025-06-22 07:14:06,138907979624384,truck,down,priority,31.62
2025-06-22 07:14:07,138907979627792,bus,down,priority,6.51
2025-06-22 07:14:07,138907979627216,bike,down,priority,27.47
2025-06-22 07:14:08,138907979625728,car,down,priority,36.83
2025-06-22 07:14:09,138907979627840,bus,down,priority,1.01
2025-06-22 07:14:11,138907979694880,bus,down,priority,0
2025-06-22 07:14:17,138907979628272,bus,down,priority,0
2025-06-22 07:14:19,138907979694928,bus,down,priority,0
2025-06-22 07:14:22,138908258898944,bike,down,priority,0
