timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-06-22 02:49:25,126305347233328,bus,right,fixed,3.68
2025-06-22 02:49:25,126305349486016,truck,right,fixed,3.45
2025-06-22 02:49:29,126305347234000,bus,right,fixed,3.19
2025-06-22 02:49:38,126305373871360,bike,down,fixed,13.17
2025-06-22 02:49:38,126305347234384,bus,down,fixed,9.2
2025-06-22 02:49:39,126305347235056,bike,down,fixed,3.27
2025-06-22 02:49:40,126305347234816,bus,down,fixed,7.96
2025-06-22 02:49:47,126305347235872,bike,down,fixed,4.11
2025-06-22 02:49:55,126305347234096,bike,left,fixed,31.18
2025-06-22 02:49:55,126305347233712,bus,left,fixed,32.21
2025-06-22 02:49:56,126305347234576,bike,left,fixed,25.03
2025-06-22 02:49:57,126305347234192,bus,left,fixed,29.97
2025-06-22 02:49:59,126305347234912,bike,left,fixed,25.72
2025-06-22 02:50:00,126305347235584,bike,left,fixed,18.74
2025-06-22 02:50:04,126305347236064,truck,left,fixed,19.52
2025-06-22 02:50:12,126305347235296,bus,up,fixed,35.2
2025-06-22 02:50:12,126305347236304,truck,up,fixed,23.19
2025-06-22 02:50:14,126305347237024,truck,up,fixed,18.67
2025-06-22 02:50:14,126305347236544,car,up,fixed,23.93
2025-06-22 02:50:14,126305347237360,bike,up,fixed,10.47
2025-06-22 02:50:29,126305347234432,car,right,fixed,61.14
2025-06-22 02:50:29,126305347235440,bike,right,fixed,50.17
2025-06-22 02:50:29,126305347234528,bus,right,fixed,59.21
2025-06-22 02:50:30,126305347236448,bike,right,fixed,33.02
2025-06-22 02:50:30,126305347235008,bus,right,fixed,56.54
2025-06-22 02:50:31,126305347237456,car,right,fixed,31.86
2025-06-22 02:50:31,126305347234720,truck,right,fixed,55.97
2025-06-22 02:50:32,126305347235152,car,right,fixed,52.3
2025-06-22 02:50:32,126305347235392,bike,right,fixed,54.47
2025-06-22 02:50:33,126305347238608,truck,right,fixed,19.58
2025-06-22 02:50:33,126305347235776,car,right,fixed,51.48
2025-06-22 02:50:34,126305347235968,truck,right,fixed,49.65
2025-06-22 02:50:34,126305347238896,truck,right,fixed,17.08
2025-06-22 02:50:35,126305347236256,truck,right,fixed,47.83
2025-06-22 02:50:35,126305347236736,bus,right,fixed,43.15
2025-06-22 02:50:35,126305347239232,bus,right,fixed,17.57
2025-06-22 02:50:36,126305347236640,bus,right,fixed,45.32
2025-06-22 02:50:37,126305347236832,bus,right,fixed,43.9
2025-06-22 02:50:38,126305347238128,car,right,fixed,26.08
2025-06-22 02:50:39,126305347237120,truck,right,fixed,37.66
2025-06-22 02:50:46,126305347239328,bike,down,fixed,27.16
2025-06-22 02:50:46,126305347236160,bus,down,fixed,60.2
2025-06-22 02:50:46,126305347235344,truck,down,fixed,58.2
2025-06-22 02:50:47,126305347239280,bike,down,fixed,23.01
2025-06-22 02:50:48,126305347237312,bike,down,fixed,49.69
2025-06-22 02:50:48,126305347239904,car,down,fixed,21.84
2025-06-22 02:50:48,126305347236928,car,down,fixed,53.96
2025-06-22 02:50:49,126305347237408,bike,down,fixed,48.7
2025-06-22 02:50:49,126305370209600,bike,down,fixed,17.96
2025-06-22 02:50:49,126305347236784,bike,down,fixed,33.29
2025-06-22 02:50:50,126305347238272,truck,down,fixed,41.72
2025-06-22 02:50:50,126305347290464,car,down,fixed,7.81
2025-06-22 02:50:50,126305347239376,car,down,fixed,29.3
2025-06-22 02:50:51,126305347238320,car,down,fixed,41.22
2025-06-22 02:50:52,126305370209792,bus,down,fixed,21.64
2025-06-22 02:50:52,126305347289504,bus,down,fixed,18.54
2025-06-22 02:51:03,126305347237216,car,left,fixed,67.13
2025-06-22 02:51:03,126305347239760,car,left,fixed,36.13
2025-06-22 02:51:03,126305347237504,bus,left,fixed,54.19
2025-06-22 02:51:04,126305347237696,car,left,fixed,62.01
2025-06-22 02:51:04,126305347289312,bike,left,fixed,36.27
2025-06-22 02:51:05,126305347238176,car,left,fixed,57.9
2025-06-22 02:51:05,126305380992064,car,left,fixed,29.92
2025-06-22 02:51:06,126305347239808,car,left,fixed,40.78
2025-06-22 02:51:06,126305347290032,truck,left,fixed,28.29
2025-06-22 02:51:08,126305347290560,bike,left,fixed,24.79
2025-06-22 02:51:08,126305347238416,truck,left,fixed,39.53
2025-06-22 02:51:09,126305347290848,car,left,fixed,22.81
2025-06-22 02:51:10,126305347289648,truck,left,fixed,31.01
2025-06-22 02:51:11,126305347290224,truck,left,fixed,31.51
2025-06-22 02:51:20,126305347238944,car,up,fixed,60.14
2025-06-22 02:51:20,126305347238560,bus,up,fixed,69.2
2025-06-22 02:51:20,126305347239616,truck,up,fixed,57.2
2025-06-22 02:51:21,126305347239472,car,up,fixed,59.02
