timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec
2025-06-22 06:34:31,139182682856512,bike,right,fixed,0
2025-06-22 06:34:47,139182681370272,car,down,fixed,0
2025-06-22 06:35:00,139182681371184,bike,left,fixed,2.94
2025-06-22 06:35:07,139182681371424,bike,left,fixed,0
2025-06-22 06:35:16,139182681368592,car,up,fixed,41.9
2025-06-22 06:35:16,139182961440672,bus,up,fixed,41.84
2025-06-22 06:35:16,139182681370704,bus,up,fixed,23.85
2025-06-22 06:35:17,139182681369120,bike,up,fixed,38.15
2025-06-22 06:35:18,139182681369312,truck,up,fixed,38.85
2025-06-22 06:35:18,139182681370464,bike,up,fixed,20.45
2025-06-22 06:35:18,139182681371232,bike,up,fixed,14.09
2025-06-22 06:35:19,139182681371040,bus,up,fixed,16.26
2025-06-22 06:35:19,139182681369504,bus,up,fixed,32.84
2025-06-22 06:35:20,139182681372144,bus,up,fixed,4.3
2025-06-22 06:35:21,139182681370128,car,up,fixed,31.62
2025-06-22 06:35:22,139182681371376,bus,up,fixed,14.78
2025-06-22 06:35:32,139182681368544,car,right,fixed,52.08
2025-06-22 06:35:32,139182681369456,truck,right,fixed,53.26
2025-06-22 06:35:32,139182681370080,bus,right,fixed,47.54
2025-06-22 06:35:33,139182681371664,car,right,fixed,28.06
2025-06-22 06:35:33,139182681369648,car,right,fixed,50.31
2025-06-22 06:35:34,139182681372432,car,right,fixed,20.53
2025-06-22 06:35:34,139182681370368,truck,right,fixed,42.77
2025-06-22 06:35:35,139182681370416,car,right,fixed,41.76
2025-06-22 06:35:35,139182681371568,car,right,fixed,31.38
2025-06-22 06:35:36,139182681372528,bus,right,fixed,14.98
2025-06-22 06:35:36,139182681371856,bike,right,fixed,27.15
2025-06-22 06:35:37,139182681372768,bike,right,fixed,18.2
2025-06-22 06:35:37,139182682188560,truck,right,fixed,11.26
2025-06-22 06:35:38,139182681373344,bike,right,fixed,0.37
2025-06-22 06:35:38,139182681371808,bike,right,fixed,10.08
2025-06-22 06:35:39,139182960063168,truck,right,fixed,6.73
2025-06-22 06:35:40,139182681373776,bike,right,fixed,0
2025-06-22 06:35:48,139182681370896,bike,down,fixed,53.32
2025-06-22 06:35:48,139182681373008,bike,down,fixed,30.4
2025-06-22 06:35:49,139182681372912,bus,down,fixed,23.2
2025-06-22 06:35:51,139182683468672,truck,down,fixed,19.9
2025-06-22 06:35:55,139182681371088,bike,down,fixed,0
2025-06-22 06:36:04,139182681372288,bike,left,fixed,54.02
2025-06-22 06:36:04,139182681372240,car,left,fixed,50.51
2025-06-22 06:36:04,139182681371760,truck,left,fixed,43.8
2025-06-22 06:36:05,139182681370560,bus,left,fixed,3.76
2025-06-22 06:36:05,139182681374496,bus,left,fixed,12.26
2025-06-22 06:36:11,139182681441584,bus,left,fixed,0
2025-06-22 06:36:20,139182681373728,car,up,fixed,44.7
2025-06-22 06:36:20,139182681373440,bus,up,fixed,46.93
2025-06-22 06:36:20,139182681372384,bus,up,fixed,28.72
2025-06-22 06:36:21,139182681374256,bus,up,fixed,24.52
2025-06-22 06:36:22,139182681373488,car,up,fixed,48.77
2025-06-22 06:36:22,139182681374112,truck,up,fixed,27.21
2025-06-22 06:36:23,139182681370800,bus,up,fixed,36.43
2025-06-22 06:36:23,139182681441440,truck,up,fixed,7.72
2025-06-22 06:36:25,139182681372576,bike,up,fixed,37.15
2025-06-22 06:36:26,139182681441632,truck,up,fixed,0
2025-06-22 06:36:26,139182681370032,bus,up,fixed,30.43
2025-06-22 06:36:26,139182681441200,bus,up,fixed,0
2025-06-22 06:36:27,139182681442784,car,up,fixed,0.78
2025-06-22 06:36:28,139182681374592,bus,up,fixed,21.44
2025-06-22 06:36:28,139182681442304,car,up,fixed,0.53
