timestamp,vehicle_id,vehicle_type,direction,mode
2025-06-22 02:34:58,136223817393904,bike,right,fixed
2025-06-22 02:34:59,136223817394096,bike,right,fixed
2025-06-22 02:35:02,136223817394240,bike,right,fixed
2025-06-22 02:35:10,136223817394048,truck,down,fixed
2025-06-22 02:35:11,136223817394336,bus,down,fixed
2025-06-22 02:35:13,136223817394768,bus,down,fixed
2025-06-22 02:35:19,136223817394144,truck,down,fixed
2025-06-22 02:35:27,136223817394000,car,left,fixed
2025-06-22 02:35:27,136223817395056,car,left,fixed
2025-06-22 02:35:27,136223817394192,bike,left,fixed
2025-06-22 02:35:27,136223817394288,car,left,fixed
2025-06-22 02:35:28,136223817394816,truck,left,fixed
2025-06-22 02:35:29,136223817394624,bike,left,fixed
2025-06-22 02:35:30,136223817394528,car,left,fixed
2025-06-22 02:35:36,136223817395440,car,left,fixed
2025-06-22 02:35:44,136223817393424,truck,up,fixed
2025-06-22 02:35:44,136223817393952,truck,up,fixed
2025-06-22 02:35:44,136223841017088,bus,up,fixed
2025-06-22 02:35:45,136223817394480,car,up,fixed
2025-06-22 02:35:45,136223817395392,truck,up,fixed
2025-06-22 02:35:46,136223817395104,bus,up,fixed
2025-06-22 02:35:51,136223817395728,truck,up,fixed
2025-06-22 02:36:01,136223817396160,bike,right,fixed
2025-06-22 02:36:01,136223817394384,truck,right,fixed
2025-06-22 02:36:01,136223817395584,bus,right,fixed
2025-06-22 02:36:02,136223817396352,truck,right,fixed
2025-06-22 02:36:02,136223817394432,bike,right,fixed
2025-06-22 02:36:02,136223817395872,bike,right,fixed
2025-06-22 02:36:03,136223817394576,truck,right,fixed
2025-06-22 02:36:03,136223817395296,truck,right,fixed
2025-06-22 02:36:05,136223817394672,car,right,fixed
2025-06-22 02:36:06,136223817394864,car,right,fixed
2025-06-22 02:36:07,136223817394960,car,right,fixed
2025-06-22 02:36:09,136223817395632,bike,right,fixed
2025-06-22 02:36:10,136223817396016,truck,right,fixed
2025-06-22 02:36:18,136223817393520,truck,down,fixed
2025-06-22 02:36:18,136223817394912,bus,down,fixed
2025-06-22 02:36:18,136223817395680,bus,down,fixed
2025-06-22 02:36:19,136223817395152,car,down,fixed
2025-06-22 02:36:19,136223817395008,car,down,fixed
2025-06-22 02:36:19,136223817395968,truck,down,fixed
2025-06-22 02:36:20,136223817396496,truck,down,fixed
2025-06-22 02:36:21,136223817395488,truck,down,fixed
2025-06-22 02:36:21,136223817396976,bike,down,fixed
2025-06-22 02:36:22,136223817397216,bike,down,fixed
2025-06-22 02:36:22,136223817396064,truck,down,fixed
2025-06-22 02:36:22,136223817394720,car,down,fixed
2025-06-22 02:36:23,136223817397264,bus,down,fixed
2025-06-22 02:36:23,136223817397072,bus,down,fixed
2025-06-22 02:36:24,136223817393568,bus,down,fixed
2025-06-22 02:36:25,136223817397408,bike,down,fixed
2025-06-22 02:36:25,136223817396784,bus,down,fixed
2025-06-22 02:36:25,136223817395824,car,down,fixed
2025-06-22 02:36:26,136223817397456,car,down,fixed
2025-06-22 02:36:27,136223817392992,truck,down,fixed
2025-06-22 02:36:35,136223817395776,car,left,fixed
2025-06-22 02:36:35,136223817395344,bus,left,fixed
2025-06-22 02:36:35,136223817395536,truck,left,fixed
2025-06-22 02:36:36,136223817396256,bus,left,fixed
2025-06-22 02:36:36,136223817395200,truck,left,fixed
2025-06-22 02:36:36,136223817396832,car,left,fixed
2025-06-22 02:36:38,136223817395920,bus,left,fixed
2025-06-22 02:36:38,136223817395248,truck,left,fixed
2025-06-22 02:36:38,136223817397504,car,left,fixed
2025-06-22 02:36:39,136223817396640,bike,left,fixed
2025-06-22 02:36:39,136223817396304,bike,left,fixed
2025-06-22 02:36:40,136223817397792,bike,left,fixed
2025-06-22 02:36:41,136223817397888,car,left,fixed
2025-06-22 02:36:43,136223817398128,bus,left,fixed
2025-06-22 02:36:52,136223817393472,bus,up,fixed
2025-06-22 02:36:52,136223817396208,truck,up,fixed
2025-06-22 02:36:52,136223817396544,bus,up,fixed
