round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,up,10.0031,6,16.0051,21.0056,5.0159,"{""down"": 1.1428571428571428, ""left"": 2.5555555555555554, ""right"": 3.015873015873016, ""up"": 5.015873015873016}","{""down"": 2, ""left"": 5, ""right"": 5, ""up"": 9}"
0,1,right,21.0059,6,27.0077,32.0091,6.254,"{""down"": 4.412698412698412, ""left"": 5.515873015873016, ""right"": 6.253968253968254, ""up"": 1.6111111111111112}","{""down"": 8, ""left"": 11, ""right"": 11, ""up"": 3}"
0,2,left,32.0094,6,38.0113,43.0116,8.4921,"{""down"": 7.0396825396825395, ""left"": 8.492063492063492, ""right"": 1.6428571428571428, ""up"": 4.888888888888889}","{""down"": 13, ""left"": 16, ""right"": 3, ""up"": 9}"
0,3,down,43.0119,6,49.0123,54.0127,8.627,"{""down"": 8.626984126984127, ""left"": 2.015873015873016, ""right"": 3.253968253968254, ""up"": 9.230158730158731}","{""down"": 16, ""left"": 4, ""right"": 6, ""up"": 17}"
1,0,up,54.013,9,63.0135,68.0139,12.1111,"{""down"": 3.6984126984126977, ""left"": 4.26984126984127, ""right"": 5.436507936507936, ""up"": 12.11111111111111}","{""down"": 7, ""left"": 8, ""right"": 10, ""up"": 22}"
1,1,left,68.0142,6,74.0146,79.015,8.9127,"{""down"": 7.095238095238095, ""left"": 8.912698412698413, ""right"": 8.65079365079365, ""up"": 1.9603174603174602}","{""down"": 13, ""left"": 17, ""right"": 16, ""up"": 4}"
1,2,right,79.0154,8,87.0175,92.0195,11.6508,"{""down"": 9.15079365079365, ""left"": 2.2777777777777777, ""right"": 11.65079365079365, ""up"": 7.230158730158731}","{""down"": 17, ""left"": 4, ""right"": 21, ""up"": 13}"
1,3,down,92.0198,9,101.0213,106.0217,12.4048,"{""down"": 12.404761904761903, ""left"": 5.34920634920635, ""right"": 1.0714285714285714, ""up"": 12.484126984126982}","{""down"": 23, ""left"": 10, ""right"": 2, ""up"": 22}"
2,0,up,106.0222,12,118.0231,123.0235,17.127,"{""down"": 1.9603174603174602, ""left"": 10.603174603174603, ""right"": 2.753968253968254, ""up"": 17.126984126984123}","{""down"": 4, ""left"": 19, ""right"": 5, ""up"": 31}"
2,1,left,123.0238,11,134.0249,139.0252,15.6349,"{""down"": 5.865079365079365, ""left"": 15.634920634920631, ""right"": 5.992063492063492, ""up"": 1.1666666666666665}","{""down"": 11, ""left"": 28, ""right"": 11, ""up"": 2}"
