timestamp,vehicle_id,vehicle_type,direction,mode,wait_time_sec,plan_seq,lane,will_turn,turn_direction,target_turn_lane,released_sec,crossed_sec
2026-09-10 02:20:49,134235670917872,car,up,priority,7.06,2,1,False,up,0,1.0001,10.09
2026-09-10 02:20:49,134235670917968,car,up,priority,6.56,3,2,False,up,0,1.5001,10.0901
2026-09-10 02:20:49,134235670918016,bus,up,priority,5.29,5,0,False,up,0,2.5001,10.0903
2026-09-10 02:20:50,134235670917920,truck,up,priority,5.6,4,1,False,up,0,2.0001,10.8643
2026-09-10 02:20:50,134235670916240,bus,up,priority,0.58,17,0,True,left,0,8.5001,10.9454
2026-09-10 02:20:51,134235670919792,car,up,priority,0,20,1,False,up,0,10.0001,12.0062
2026-09-10 02:20:52,134235670918160,bike,up,priority,0,22,1,False,up,0,11.0001,12.9842
2026-09-10 02:21:00,134235670914848,bus,down,priority,19.57,0,2,True,right,2,0.0003,21.0905
2026-09-10 02:21:00,134235670915664,truck,down,priority,15.68,7,0,True,left,2,3.5001,21.1065
2026-09-10 02:21:00,134235670920128,truck,down,priority,6.7,25,1,False,down,0,12.5001,21.1069
2026-09-10 02:21:01,134235670918304,bus,down,priority,14.59,11,2,False,down,0,5.5001,21.9248
2026-09-10 02:21:01,134235670919504,car,down,priority,9.92,21,0,True,left,2,10.5001,21.9252
2026-09-10 02:21:01,134235670920320,car,down,priority,6.31,27,1,False,down,0,13.5001,21.9253
2026-09-10 02:21:02,134235672131488,bus,down,priority,2.81,35,0,False,down,0,17.5001,22.6659
2026-09-10 02:21:02,134235670916672,bus,down,priority,1.8,37,1,False,down,0,18.5001,22.6661
2026-09-10 02:21:02,134235670919408,truck,down,priority,10.94,18,2,False,down,0,9.0001,23.0661
2026-09-10 02:21:03,134235670919696,truck,down,priority,9.86,19,2,True,right,1,9.5001,23.8854
2026-09-10 02:21:03,134235670915424,car,down,priority,0,44,0,True,left,1,22.0001,24.0306
