round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,right,10.0011,24,34.0037,39.0041,0.5,"{""down"": 1.0158730158730158, ""left"": 0.5714285714285714, ""right"": 0.5, ""up"": 1.3333333333333333}","{""down"": 2, ""left"": 1, ""right"": 1, ""up"": 2}"
0,1,down,39.0043,24,63.0073,68.0077,3.8968,"{""down"": 3.8968253968253963, ""left"": 2.087301587301587, ""right"": 0.5, ""up"": 1.3333333333333333}","{""down"": 7, ""left"": 4, ""right"": 1, ""up"": 2}"
0,2,left,68.0079,24,92.0096,97.0104,5.6746,"{""down"": 1.1111111111111112, ""left"": 5.674603174603175, ""right"": 1.8888888888888888, ""up"": 1.3333333333333333}","{""down"": 2, ""left"": 10, ""right"": 4, ""up"": 2}"
0,3,up,97.0106,24,121.015,126.0154,3.3333,"{""down"": 3.333333333333333, ""left"": 0, ""right"": 3.6269841269841265, ""up"": 3.333333333333333}","{""down"": 6, ""left"": 0, ""right"": 7, ""up"": 6}"
1,0,right,126.0157,24,150.0191,155.0206,5.881,"{""down"": 6.682539682539683, ""left"": 4.785714285714286, ""right"": 5.8809523809523805, ""up"": 0.4444444444444444}","{""down"": 12, ""left"": 9, ""right"": 11, ""up"": 1}"
1,1,down,155.0209,24,179.0256,184.026,15.3571,"{""down"": 15.357142857142858, ""left"": 13.444444444444443, ""right"": 1.6666666666666665, ""up"": 7.603174603174605}","{""down"": 28, ""left"": 24, ""right"": 3, ""up"": 15}"
1,2,left,184.0263,24,208.0321,213.0334,27.4048,"{""down"": 2.3095238095238093, ""left"": 27.404761904761916, ""right"": 10.507936507936508, ""up"": 12.15079365079365}","{""down"": 4, ""left"": 49, ""right"": 19, ""up"": 23}"
1,3,up,213.0337,24,237.0414,242.0417,20.9603,"{""down"": 11.26190476190476, ""left"": 0.9444444444444444, ""right"": 18.611111111111107, ""up"": 20.960317460317462}","{""down"": 21, ""left"": 2, ""right"": 34, ""up"": 39}"
2,0,right,242.042,24,266.0498,271.0502,29.6905,"{""down"": 20.476190476190474, ""left"": 7.69047619047619, ""right"": 29.6904761904762, ""up"": 1.7380952380952381}","{""down"": 38, ""left"": 14, ""right"": 54, ""up"": 3}"
2,1,down,271.0506,24,295.0643,300.0688,36.6825,"{""down"": 36.68253968253968, ""left"": 26.03174603174604, ""right"": 3.5476190476190474, ""up"": 18.674603174603174}","{""down"": 68, ""left"": 48, ""right"": 7, ""up"": 34}"
2,2,left,300.0692,24,324.0791,329.0808,35.7381,"{""down"": 4.7142857142857135, ""left"": 35.73809523809523, ""right"": 12.484126984126986, ""up"": 26.793650793650798}","{""down"": 9, ""left"": 66, ""right"": 25, ""up"": 49}"
2,3,up,329.0811,24,353.0844,358.0856,26.7937,"{""down"": 4.7142857142857135, ""left"": 0, ""right"": 12.484126984126986, ""up"": 26.793650793650798}","{""down"": 9, ""left"": 0, ""right"": 25, ""up"": 49}"
3,0,right,358.0858,24,382.0898,387.0908,12.4841,"{""down"": 4.7142857142857135, ""left"": 0, ""right"": 12.484126984126986, ""up"": 0}","{""down"": 9, ""left"": 0, ""right"": 25, ""up"": 0}"
