label,log_file,direction,duration_to_pass_50_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071223.csv,left,37.0,5.85,0.0,17.11,"{'truck': 4, 'bike': 3, 'car': 2, 'bus': 1}"
priority_bottom_left_120,priority_log_120_20250622_071221.csv,left,52.0,7.09,0.0,25.25,"{'truck': 2, 'bike': 3, 'car': 3, 'bus': 2}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,left,58.0,11.64,0.0,37.23,"{'truck': 1, 'bike': 3, 'car': 3, 'bus': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,left,5.0,13.23,0.0,27.56,"{'truck': 1, 'bike': 2, 'car': 2, 'bus': 5}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,left,40.0,7.39,0.0,20.48,"{'truck': 3, 'bike': 4, 'car': 2, 'bus': 1}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,left,64.0,24.85,2.28,53.94,"{'truck': 3, 'bike': 2, 'car': 3, 'bus': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065358.csv,left,4.0,17.08,2.27,28.96,"{'truck': 2, 'bike': 3, 'car': 2, 'bus': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,left,3.0,14.9,0.77,28.97,"{'truck': 2, 'bike': 5, 'car': 3}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,left,44.0,6.14,0.0,18.8,"{'truck': 3, 'bike': 2, 'car': 3, 'bus': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,left,64.0,24.93,5.98,51.51,"{'truck': 2, 'bike': 2, 'car': 4, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043418.csv,left,106.0,17.84,0.0,48.0,"{'truck': 3, 'bike': 1, 'car': 2, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043134.csv,left,65.0,20.47,0.0,49.88,"{'truck': 3, 'bike': 5, 'car': 1, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043127.csv,left,66.0,24.03,0.0,49.5,"{'truck': 2, 'bike': 1, 'car': 4, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071739.csv,left,66.0,20.13,0.0,50.07,"{'truck': 2, 'bike': 2, 'car': 2, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043130.csv,left,66.0,25.4,0.0,54.0,"{'truck': 4, 'car': 3, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043414.csv,left,65.0,10.08,0.0,29.41,"{'truck': 3, 'bike': 2, 'car': 4, 'bus': 1}"
priority_even_120,priority_log_120_20250622_071718.csv,left,111.0,14.19,0.0,37.24,"{'truck': 2, 'bike': 4, 'car': 3, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043417.csv,left,39.0,8.78,0.0,21.03,"{'truck': 1, 'bike': 2, 'car': 5, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043419.csv,left,66.0,11.83,0.77,24.99,"{'truck': 1, 'bike': 4, 'car': 4, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043132.csv,left,67.0,29.55,0.0,54.01,"{'truck': 5, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043128.csv,left,64.0,18.59,3.75,53.53,"{'truck': 1, 'bike': 3, 'car': 3, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043421.csv,left,98.0,11.98,0.0,46.8,"{'bike': 2, 'car': 5, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071737.csv,left,65.0,16.26,0.0,49.62,"{'truck': 2, 'bike': 2, 'car': 2, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043124.csv,left,66.0,25.4,0.0,49.69,"{'truck': 1, 'bike': 3, 'car': 3, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043415.csv,left,61.0,8.2,0.0,24.79,"{'truck': 4, 'bike': 1, 'car': 4, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043416.csv,left,34.0,3.91,0.0,12.79,"{'truck': 2, 'bike': 2, 'car': 2, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043412.csv,left,52.0,15.16,0.0,30.55,"{'truck': 1, 'bike': 3, 'car': 3, 'bus': 3}"
priority_even_120,priority_log_120_20250622_071717.csv,left,62.0,8.88,0.0,25.92,"{'truck': 1, 'bike': 4, 'car': 2, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043420.csv,left,65.0,8.43,0.0,30.34,"{'truck': 3, 'bike': 4, 'car': 2, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043413.csv,left,46.0,15.54,0.0,33.42,"{'truck': 4, 'bike': 1, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043125.csv,left,65.0,22.64,0.0,50.95,"{'truck': 3, 'bike': 4, 'car': 2, 'bus': 1}"
priority_even_120,priority_log_120_20250622_071719.csv,left,61.0,7.99,0.0,23.89,"{'truck': 1, 'bike': 4, 'car': 2, 'bus': 3}"
fixed_even_120,fixed_log_120_20250629_043129.csv,left,66.0,23.47,3.78,51.76,"{'truck': 2, 'bike': 3, 'car': 1, 'bus': 4}"
priority_even_120,priority_log_120_20250622_071716.csv,left,52.0,7.94,0.0,20.45,"{'truck': 3, 'bike': 2, 'car': 1, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043133.csv,left,7.0,17.27,0.0,26.21,"{'bike': 1, 'car': 3, 'bus': 6}"
fixed_even_120,fixed_log_120_20250622_071738.csv,left,66.0,19.87,0.0,45.0,"{'truck': 5, 'bike': 1, 'car': 3, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043135.csv,left,64.0,25.11,0.0,53.93,"{'truck': 3, 'bike': 2, 'car': 1, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043422.csv,left,48.0,7.34,0.27,16.39,"{'truck': 1, 'bike': 2, 'car': 3, 'bus': 4}"
fixed_even_120,fixed_log_120_20250622_071741.csv,left,64.0,14.76,0.0,53.27,"{'bike': 1, 'car': 5, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043411.csv,left,108.0,11.86,0.0,26.79,"{'truck': 4, 'bike': 4, 'car': 1, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043126.csv,left,8.0,8.9,0.0,23.22,"{'truck': 3, 'bike': 4, 'car': 2, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043131.csv,left,65.0,23.23,0.0,49.95,"{'truck': 1, 'bike': 1, 'car': 5, 'bus': 3}"
priority_even_120,priority_log_120_20250622_071715.csv,left,62.0,10.15,0.0,36.38,"{'truck': 3, 'bike': 2, 'car': 2, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071740.csv,left,64.0,20.3,0.0,46.21,"{'bike': 2, 'car': 4, 'bus': 4}"
