label,log_file,direction,duration_to_pass_50_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071221.csv,up,80.0,6.78,0.0,35.05,"{'truck': 3, 'bike': 3, 'car': 3, 'bus': 1}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,up,88.0,11.28,0.0,26.77,"{'truck': 2, 'bike': 6, 'car': 1, 'bus': 1}"
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,up,67.0,26.96,0.0,48.83,"{'truck': 1, 'bike': 3, 'car': 4, 'bus': 2}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,up,67.0,11.59,0.0,34.34,"{'truck': 3, 'bike': 1, 'car': 2, 'bus': 4}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,up,66.0,33.29,0.0,50.77,"{'truck': 2, 'bike': 3, 'car': 2, 'bus': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,up,72.0,16.95,0.0,42.38,"{'truck': 3, 'bike': 3, 'car': 2, 'bus': 2}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,up,82.0,9.15,0.0,31.35,"{'truck': 3, 'bike': 2, 'car': 3, 'bus': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,up,65.0,25.85,0.0,51.75,"{'truck': 2, 'car': 4, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043418.csv,up,62.0,8.87,0.0,30.42,"{'truck': 4, 'bike': 4, 'car': 1, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043134.csv,up,6.0,18.4,1.33,32.84,"{'truck': 7, 'car': 1, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043127.csv,up,64.0,18.9,0.0,52.99,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250622_071739.csv,up,64.0,22.78,2.21,53.59,"{'truck': 1, 'bike': 3, 'car': 4, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043130.csv,up,64.0,24.11,0.0,51.34,"{'truck': 2, 'bike': 3, 'car': 2, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043414.csv,up,47.0,2.78,0.0,12.81,"{'truck': 1, 'bike': 4, 'car': 3, 'bus': 2}"
priority_even_120,priority_log_120_20250622_071718.csv,up,86.0,9.96,0.0,30.22,"{'truck': 3, 'bike': 2, 'car': 2, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043417.csv,up,63.0,6.2,0.0,24.22,"{'truck': 1, 'bike': 3, 'car': 2, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043419.csv,up,73.0,4.99,0.0,28.54,"{'truck': 1, 'bike': 2, 'car': 3, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043132.csv,up,8.0,24.15,1.32,43.08,"{'truck': 1, 'bike': 1, 'car': 3, 'bus': 5}"
fixed_even_120,fixed_log_120_20250629_043128.csv,up,64.0,19.25,0.0,43.39,"{'truck': 5, 'bike': 1, 'car': 3, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043421.csv,up,79.0,18.03,0.0,48.38,"{'truck': 4, 'bike': 1, 'car': 1, 'bus': 4}"
fixed_even_120,fixed_log_120_20250622_071737.csv,up,64.0,24.55,0.0,41.12,"{'truck': 2, 'bike': 4, 'car': 1, 'bus': 3}"
fixed_even_120,fixed_log_120_20250629_043124.csv,up,64.0,22.05,0.0,41.76,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043415.csv,up,35.0,5.6,0.0,14.92,"{'truck': 4, 'car': 4, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043412.csv,up,47.0,6.26,0.0,21.01,"{'truck': 4, 'bike': 5, 'bus': 1}"
priority_even_120,priority_log_120_20250622_071717.csv,up,70.0,11.74,0.0,36.09,"{'truck': 4, 'bike': 3, 'car': 2, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043413.csv,up,66.0,13.44,0.0,39.08,"{'truck': 5, 'bike': 1, 'car': 1, 'bus': 3}"
fixed_even_120,fixed_log_120_20250629_043125.csv,up,64.0,25.77,2.83,48.83,"{'truck': 3, 'bike': 3, 'car': 1, 'bus': 3}"
priority_even_120,priority_log_120_20250622_071719.csv,up,23.0,3.07,0.0,9.73,"{'truck': 3, 'bike': 3, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043129.csv,up,64.0,19.36,0.0,50.34,"{'truck': 2, 'bike': 7, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043133.csv,up,66.0,40.41,6.54,54.01,"{'truck': 1, 'bike': 2, 'car': 3, 'bus': 4}"
fixed_even_120,fixed_log_120_20250622_071738.csv,up,64.0,26.82,12.68,43.98,"{'truck': 1, 'bike': 2, 'car': 6, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043135.csv,up,65.0,26.13,4.6,49.81,"{'truck': 4, 'bike': 1, 'car': 4, 'bus': 1}"
fixed_even_120,fixed_log_120_20250622_071741.csv,up,66.0,30.15,0.0,50.04,"{'truck': 2, 'bike': 6, 'car': 2}"
priority_even_120,priority_log_120_20250629_043411.csv,up,68.0,5.78,0.0,17.34,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043126.csv,up,4.0,22.3,2.83,41.78,"{'truck': 3, 'bike': 4, 'car': 1, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043131.csv,up,5.0,20.05,0.0,43.39,"{'truck': 1, 'bike': 2, 'car': 3, 'bus': 4}"
priority_even_120,priority_log_120_20250622_071715.csv,up,92.0,9.75,0.0,28.95,"{'truck': 1, 'bike': 2, 'car': 3, 'bus': 4}"
fixed_even_120,fixed_log_120_20250622_071740.csv,up,64.0,22.05,2.14,52.06,"{'truck': 2, 'car': 6, 'bus': 2}"
