label,log_file,total_vehicles,sim_duration_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,avg_wait_up,vehicles_up,avg_wait_down,vehicles_down,avg_wait_left,vehicles_left,avg_wait_right,vehicles_right,count_car,count_bus,count_bike,count_truck
priority_bottom_left_120,priority_log_120_20250622_071223.csv,50,99.0,9.37,0.0,39.73,9.85,4,9.46,17,7.35,22,15.21,7,8,19,8,15
priority_bottom_left_120,priority_log_120_20250622_071221.csv,50,97.0,7.36,0.0,35.05,6.78,10,6.56,18,9.59,13,6.37,9,13,16,9,12
priority_bottom_left_120,priority_log_120_20250622_071224.csv,50,92.0,10.17,0.0,37.23,11.52,9,11.52,15,10.84,15,6.3,11,11,10,20,9
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,50,86.0,18.96,0.0,53.27,18.28,4,20.04,18,16.26,22,26.06,6,15,9,13,13
priority_bottom_left_120,priority_log_120_20250622_071225.csv,50,93.0,11.28,0.0,34.34,11.59,10,11.01,11,11.09,20,11.67,9,9,12,16,13
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,50,101.0,21.93,0.0,53.94,23.72,5,23.65,14,22.57,21,17.26,10,14,13,12,11
fixed_bottom_left_120,fixed_log_120_20250622_065358.csv,50,84.0,20.61,0.0,53.25,11.16,2,21.18,22,20.35,19,22.21,7,12,11,11,16
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,50,93.0,17.98,0.0,51.91,13.81,7,15.26,16,23.77,20,11.81,7,15,9,15,11
priority_bottom_left_120,priority_log_120_20250622_071222.csv,50,97.0,7.75,0.0,32.34,8.53,15,7.31,18,7.81,12,6.83,5,15,13,8,14
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,50,94.0,22.08,0.0,53.5,11.47,6,25.57,17,22.99,20,20.05,7,14,9,14,13
priority_even_120,priority_log_120_20250629_043418.csv,50,95.0,9.97,0.0,30.42,9.61,16,13.62,9,5.57,7,10.18,18,6,11,16,17
fixed_even_120,fixed_log_120_20250629_043134.csv,50,95.0,15.8,0.0,53.64,16.73,11,13.42,17,21.23,14,10.1,8,9,16,8,17
fixed_even_120,fixed_log_120_20250629_043127.csv,50,107.0,20.91,0.0,53.45,18.9,10,20.86,14,18.24,15,26.44,11,15,13,8,14
fixed_even_120,fixed_log_120_20250622_071739.csv,50,107.0,16.83,0.0,53.59,21.34,9,15.21,15,16.52,16,15.7,10,12,14,14,10
fixed_even_120,fixed_log_120_20250629_043130.csv,50,104.0,22.96,0.0,54.0,21.48,9,20.19,10,23.17,15,25.32,16,15,14,11,10
priority_even_120,priority_log_120_20250629_043414.csv,50,101.0,8.03,0.0,44.72,8.93,13,9.35,8,8.91,13,5.91,16,20,13,10,7
priority_even_120,priority_log_120_20250622_071718.csv,50,97.0,7.44,0.0,30.22,10.98,11,5.04,15,9.03,8,6.47,16,17,11,12,10
priority_even_120,priority_log_120_20250629_043417.csv,50,95.0,9.45,0.0,30.37,6.67,15,10.72,19,8.78,10,13.48,6,17,12,11,10
priority_even_120,priority_log_120_20250629_043419.csv,50,90.0,8.57,0.0,34.42,9.2,15,4.7,11,9.51,13,10.47,11,18,8,13,11
fixed_even_120,fixed_log_120_20250629_043132.csv,50,98.0,21.74,0.0,54.01,24.15,10,16.85,15,25.74,15,20.66,10,12,15,7,16
fixed_even_120,fixed_log_120_20250629_043128.csv,50,97.0,18.93,0.0,53.53,17.33,9,19.64,14,20.76,19,15.14,8,14,12,12,12
priority_even_120,priority_log_120_20250629_043421.csv,50,96.0,10.39,0.0,48.38,17.35,12,7.7,8,8.12,9,8.41,21,14,18,12,6
