label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,down,fixed,bottom_left,66.0,18.69,0.0,49.74,"{'car': 3, 'bus': 1, 'truck': 3, 'bike': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,down,fixed,bottom_left,67.0,25.84,0.0,52.9,"{'car': 3, 'bus': 3, 'truck': 2, 'bike': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065358.csv,down,fixed,bottom_left,66.0,20.65,0.0,51.89,"{'car': 2, 'bus': 3, 'truck': 3, 'bike': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,down,fixed,bottom_left,66.0,17.66,0.0,47.74,"{'car': 3, 'bus': 3, 'truck': 2, 'bike': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,down,fixed,bottom_left,67.0,26.52,0.73,53.5,"{'car': 2, 'bus': 2, 'truck': 3, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043134.csv,down,fixed,even,64.0,13.76,0.0,53.64,"{'car': 2, 'bus': 4, 'truck': 2, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043127.csv,down,fixed,even,66.0,23.15,0.0,52.75,"{'car': 3, 'bus': 2, 'truck': 2, 'bike': 3}"
fixed_even_120,fixed_log_120_20250622_071739.csv,down,fixed,even,66.0,16.62,0.0,41.81,"{'car': 3, 'bus': 2, 'truck': 1, 'bike': 4}"
fixed_even_120,fixed_log_120_20250629_043130.csv,down,fixed,even,70.0,20.19,0.0,46.91,"{'car': 4, 'bus': 4, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043132.csv,down,fixed,even,67.0,21.59,0.0,45.29,"{'car': 3, 'bus': 1, 'truck': 4, 'bike': 2}"
fixed_even_120,fixed_log_120_20250629_043128.csv,down,fixed,even,67.0,20.7,0.0,48.44,"{'car': 2, 'bus': 5, 'truck': 1, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071737.csv,down,fixed,even,67.0,28.07,4.19,49.16,"{'car': 3, 'bus': 2, 'truck': 2, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043124.csv,down,fixed,even,65.0,22.42,0.0,52.99,"{'car': 1, 'bus': 5, 'truck': 3, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043125.csv,down,fixed,even,67.0,29.44,0.0,51.45,"{'car': 2, 'bus': 4, 'truck': 3, 'bike': 1}"
fixed_even_120,fixed_log_120_20250629_043129.csv,down,fixed,even,65.0,22.05,0.0,47.73,"{'car': 4, 'truck': 3, 'bike': 3}"
fixed_even_120,fixed_log_120_20250622_071738.csv,down,fixed,even,68.0,21.62,0.0,50.06,"{'car': 5, 'bus': 3, 'truck': 2}"
fixed_even_120,fixed_log_120_20250629_043135.csv,down,fixed,even,67.0,25.84,0.0,52.92,"{'car': 2, 'bus': 3, 'truck': 4, 'bike': 1}"
fixed_even_120,fixed_log_120_20250622_071741.csv,down,fixed,even,64.0,12.53,0.0,51.86,"{'car': 1, 'bus': 4, 'truck': 2, 'bike': 3}"
fixed_even_120,fixed_log_120_20250629_043131.csv,down,fixed,even,67.0,16.83,0.0,51.81,"{'car': 3, 'bus': 3, 'truck': 2, 'bike': 2}"
fixed_even_120,fixed_log_120_20250622_071740.csv,down,fixed,even,68.0,23.18,0.0,47.62,"{'car': 2, 'bus': 4, 'truck': 3, 'bike': 1}"
