label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071223.csv,left,priority,bottom_left,37.0,5.85,0.0,17.11,"{'car': 2, 'bus': 1, 'truck': 4, 'bike': 3}"
priority_bottom_left_120,priority_log_120_20250622_071221.csv,left,priority,bottom_left,52.0,7.09,0.0,25.25,"{'car': 3, 'bus': 2, 'truck': 2, 'bike': 3}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,left,priority,bottom_left,58.0,11.64,0.0,37.23,"{'car': 3, 'bus': 3, 'truck': 1, 'bike': 3}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,left,priority,bottom_left,40.0,7.39,0.0,20.48,"{'car': 2, 'bus': 1, 'truck': 3, 'bike': 4}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,left,priority,bottom_left,44.0,6.14,0.0,18.8,"{'car': 3, 'bus': 2, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043418.csv,left,priority,even,106.0,17.84,0.0,48.0,"{'car': 2, 'bus': 4, 'truck': 3, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043414.csv,left,priority,even,65.0,10.08,0.0,29.41,"{'car': 4, 'bus': 1, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071718.csv,left,priority,even,111.0,14.19,0.0,37.24,"{'car': 3, 'bus': 1, 'truck': 2, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043417.csv,left,priority,even,39.0,8.78,0.0,21.03,"{'car': 5, 'bus': 2, 'truck': 1, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043419.csv,left,priority,even,66.0,11.83,0.77,24.99,"{'car': 4, 'bus': 1, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043421.csv,left,priority,even,98.0,11.98,0.0,46.8,"{'car': 5, 'bus': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043415.csv,left,priority,even,61.0,8.2,0.0,24.79,"{'car': 4, 'bus': 1, 'truck': 4, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043416.csv,left,priority,even,34.0,3.91,0.0,12.79,"{'car': 2, 'bus': 4, 'truck': 2, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043412.csv,left,priority,even,52.0,15.16,0.0,30.55,"{'car': 3, 'bus': 3, 'truck': 1, 'bike': 3}"
priority_even_120,priority_log_120_20250622_071717.csv,left,priority,even,62.0,8.88,0.0,25.92,"{'car': 2, 'bus': 3, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043420.csv,left,priority,even,65.0,8.43,0.0,30.34,"{'car': 2, 'bus': 1, 'truck': 3, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043413.csv,left,priority,even,46.0,15.54,0.0,33.42,"{'car': 3, 'bus': 2, 'truck': 4, 'bike': 1}"
priority_even_120,priority_log_120_20250622_071719.csv,left,priority,even,61.0,7.99,0.0,23.89,"{'car': 2, 'bus': 3, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250622_071716.csv,left,priority,even,52.0,7.94,0.0,20.45,"{'car': 1, 'bus': 4, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043422.csv,left,priority,even,48.0,7.34,0.27,16.39,"{'car': 3, 'bus': 4, 'truck': 1, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043411.csv,left,priority,even,108.0,11.86,0.0,26.79,"{'car': 1, 'bus': 1, 'truck': 4, 'bike': 4}"
priority_even_120,priority_log_120_20250622_071715.csv,left,priority,even,62.0,10.15,0.0,36.38,"{'car': 2, 'bus': 3, 'truck': 3, 'bike': 2}"
